title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
Skml Curry Point,5.0,1.0,,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Skml%20Curry%20Point&query_place_id=ChIJC0hNMQJDOToRvDM0Fxu6-Y0,Restaurant
Tulips,4.2,703.0,Waltair Main Rd,Visakhapatnam,Andhra Pradesh,IN,http://www.hotelgreenpark.com/Vizag/,,Restaurant,Chinese restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tulips&query_place_id=ChIJmX2TMBdDOToR84YKdxBhZdU,Restaurant
HARE KRISHNA RESTAURANT KGH BRANCH,4.5,32.0,"HARE KRISHNA RESTAURANT (KGH BRANCH, KGH Up Rd, beside SUBHAM MEDICALS",Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HARE%20KRISHNA%20RESTAURANT%20KGH%20BRANCH&query_place_id=ChIJ3fCZegBDOToRiRFPq7BJWGc,Restaurant
Vamsi catering,4.8,19.0,"22-1-38, Kotha Agraharam, Beach Rd","Fishing harbour, Visakhapatnam",Andhra Pradesh,IN,https://vamsicaterings.in/,+91 97012 29494,Restaurant supply store,Catering food and drink supplier,Event venue,,,,,,,,https://www.google.com/maps/search/?api=1&query=Vamsi%20catering&query_place_id=ChIJw6wykEdDOToRAcI7SQFWj9w,Restaurant supply store
INDIAN FAST FOODS,4.5,2.0,"P73X+GX4, AVN College Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 90639 91000,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=INDIAN%20FAST%20FOODS&query_place_id=ChIJTyLJoBRDOToRSgQ5oQX8Zis,Fast food restaurant
PIZZA STORY,4.6,22.0,,Visakhapatnam,Andhra Pradesh,IN,https://instagram.com/pizzastory_vizag?igshid=YmMyMTA2M2Y=,+91 63002 78545,Food court,Pizza restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=PIZZA%20STORY&query_place_id=ChIJ118lGWhDOToRkPJxAoRkecw,Food court
SUBHAM KITCHEN,4.8,17.0,beside SUBHAM CHEMISTS MAIN BRANCH,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=SUBHAM%20KITCHEN&query_place_id=ChIJudCCvW5DOToRtJmxZ3y9D5M,Restaurant
Sri Durga Ganga Bhavani Chicken Pokodi,5.0,1.0,Port Road Port Road,Visakhapatnam,Andhra Pradesh,IN,,+91 73964 86672,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Durga%20Ganga%20Bhavani%20Chicken%20Pokodi&query_place_id=ChIJ3TSi-DdDOToRCnpbL3Blwms,Fast food restaurant
The box cafe vizag,4.0,1.0,opp. Rani bomma 1,Visakhapatnam,Andhra Pradesh,IN,,,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20box%20cafe%20vizag&query_place_id=ChIJWRQbQUhDOToRGqE8FArHDdM,Fast food restaurant
Banarasi Special Food,5.0,3.0,"P857+PXM, Beach Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 96701 32647,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Banarasi%20Special%20Food&query_place_id=ChIJLX8HmapDOToReFQrkYHT6ss,Restaurant
Hotel Winsar Park,4.5,1878.0,"18, Collector's Office Road",Visakhapatnam,Andhra Pradesh,IN,http://winsarpark.com/,+91 77997 70450,Hotel,Banquet hall,Restaurant,Restaurant supply store,Wedding venue,,,,,,https://www.google.com/maps/search/?api=1&query=Hotel%20Winsar%20Park&query_place_id=ChIJ_cKzJRBDOToRxQvt_PXaopU,Hotel
Kerala Bhavan,5.0,1.0,"door no.26, 1-63, Town Kotha Rd, near Bowadara Market",Visakhapatnam,Andhra Pradesh,IN,,+91 85209 59515,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kerala%20Bhavan&query_place_id=ChIJA4crk99DOToRrRASEyhfxKI,Restaurant
Alhamdullilah Fast Food and Biryani centre,,,26-15-26,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Alhamdullilah%20Fast%20Food%20and%20Biryani%20centre&query_place_id=ChIJjSljHQBDOToRUCjUjYej5SM,Restaurant
A R Plaza,4.0,158.0,"27-4-37, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 99899 49881,Restaurant,Appliance store,Home goods store,,,,,,,,https://www.google.com/maps/search/?api=1&query=A%20R%20Plaza&query_place_id=ChIJUT8LyQRDOToRKqhgt4F0xWg,Restaurant
Trupthi Biryani,,,"P852+P9V, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Trupthi%20Biryani&query_place_id=ChIJZwr-LhtDOToRcCMTeGylUi4,Restaurant
Hotel Kerala Bhavan,3.8,307.0,"26-14-216, 26-1-63, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 89127 89713,South Indian restaurant,Breakfast restaurant,Indian restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Hotel%20Kerala%20Bhavan&query_place_id=ChIJW2GKaANDOToRY3xb3efkfEk,South Indian restaurant
ZOOM RESTAURANT AND BAR,3.6,1991.0,"15-18-17, Beach Rd, Opp Gokul Park",Visakhapatnam,Andhra Pradesh,IN,,+91 89125 71668,Bar,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=ZOOM%20RESTAURANT%20AND%20BAR&query_place_id=ChIJVVWlqQ1DOToRi6M2ybYTA_4,Bar
Jagadamba,4.8,11.0,P842+W29,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jagadamba&query_place_id=ChIJicbmOfRDOToRt0VsqKjqMYQ,Restaurant
Shree Shyam Restaurant & Lodge,3.7,1109.0,"30-11-2, first left lane before hdfc bank, Daba Gardens, 530020, 11-2, Lakshmi St",Visakhapatnam,Andhra Pradesh,IN,,+91 94409 64099,Rajasthani restaurant,Vegetarian restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Shree%20Shyam%20Restaurant%20%26%20Lodge&query_place_id=ChIJ4SdanBlDOToRX1tGQe5iCvM,Rajasthani restaurant
Sri Pravallika Parlour,4.2,47.0,"26-15-17, Kotha Road, Main Road",Visakhapatnam,Andhra Pradesh,IN,,+91 98482 07201,Fast food restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Pravallika%20Parlour&query_place_id=ChIJeRocggFDOToRmjOUgEPJDas,Fast food restaurant
Naaz biryani centre,5.0,1.0,near big punja,Visakhapatnam,Andhra Pradesh,IN,,+91 83318 87927,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Naaz%20biryani%20centre&query_place_id=ChIJ6y6hRzZDOToRpqinMaTo5dg,Biryani restaurant
Apna Dhaba,3.4,951.0,"ABC Hospital, Near, Coastal Battery Road Krishnagar",Visakhapatnam,Andhra Pradesh,IN,,+91 92466 23700,Dhaba,Indian restaurant,Punjabi restaurant,South Indian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Apna%20Dhaba&query_place_id=ChIJAY1AZQ5DOToRspBIN413Ob0,Dhaba
Pop Up Cafe & Restaurant,4.6,426.0,"Beach Rd, Gokul Park Parking, opposite Novotel Hotel",Visakhapatnam,Andhra Pradesh,IN,http://popupcafe.in/,+91 77024 65669,Coffee shop,Beach entertainment shop,Biryani restaurant,Family restaurant,Fish restaurant,Restaurant,Seafood restaurant,,,,https://www.google.com/maps/search/?api=1&query=Pop%20Up%20Cafe%20%26%20Restaurant&query_place_id=ChIJdzflPHZDOToRey-kS3z3DNY,Coffee shop
Red Bowl- Pan Asian Kitchen,4.8,406.0,"Novotel, RK Beach Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.novotel-visakhapatnam.com/dining-options/red-bowl/,+91 77998 84043,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Red%20Bowl-%20Pan%20Asian%20Kitchen&query_place_id=ChIJcbIZimtDOToRCgvHRGGChWw,Restaurant
Gowri fried chicken,4.9,7.0,,Visakhapatnam,Andhra Pradesh,IN,,,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Gowri%20fried%20chicken&query_place_id=ChIJXXgL6_FDOToRWhpzsQPekKU,Fast food restaurant
Sri Krishna Mess-Pure Veg,4.7,430.0,P862+RFV,Visakhapatnam,Andhra Pradesh,IN,,+91 99122 48010,South Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Krishna%20Mess-Pure%20Veg&query_place_id=ChIJb5xeIIdDOToRW2VHabxss-I,South Indian restaurant
Venkateswara bar and resturant,3.7,12.0,P73W+23X,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Venkateswara%20bar%20and%20resturant&query_place_id=ChIJ24vRkVtDOToRGBnoT9Sp7YE,Restaurant
Sri Satya Restaurant & Bar,3.1,13.0,"P73V+3PH, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,Bar,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Satya%20Restaurant%20%26%20Bar&query_place_id=ChIJWT_wAgJDOToRlm25RiT6GRw,Restaurant
Hotel Ramnath,3.9,23.0,Doctor Bhimrao Ramji,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Hotel%20Ramnath&query_place_id=ChIJVWhu3QVDOToReqRdcsU5XoE,Restaurant
Star Lucky Reastaurant,4.3,97.0,"Jagadamba Commercial Complex, Chitralaya Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 73060 88108,Biryani restaurant,Family restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Star%20Lucky%20Reastaurant&query_place_id=ChIJCZDMh59DOToRJcwXEqTVgXc,Biryani restaurant
SVT tiffins,4.1,16.0,P72W+V8M,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=SVT%20tiffins&query_place_id=ChIJT4GPgwFDOToReP5sD3Iolrw,Restaurant
Skml tiffins center,4.8,6.0,"25, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 77804 08919,Breakfast restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Skml%20tiffins%20center&query_place_id=ChIJJbDDGAhDOToRck_HgHbKsXw,Breakfast restaurant
Ashoka Restaurant,3.7,1154.0,"30-13-11, Leelamahal Up Rd",Visakhapatnam,Andhra Pradesh,IN,,,Biryani restaurant,Breakfast restaurant,Family restaurant,Fast food restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Ashoka%20Restaurant&query_place_id=ChIJ6ejZVhlDOToRqGC6w-P1MF8,Biryani restaurant
Bismilla Star Biryani,4.3,4.0,"530002, 26-15-40, Town Main Rd 33 Godowns, AVN College Down, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bismilla%20Star%20Biryani&query_place_id=ChIJOa2U2gNDOToRS5ufB5ll-TY,Restaurant
Nice Hyderabadi Dum Biryani,4.0,488.0,"28-2-6, KGH Up Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 99488 41990,Hyderabadi restaurant,Fast food restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Nice%20Hyderabadi%20Dum%20Biryani&query_place_id=ChIJm62ZjhpDOToREsXhtxU__fU,Hyderabadi restaurant
Star Annapurna Restaurant,4.5,205.0,"5, Suryabagh",Visakhapatnam,Andhra Pradesh,IN,,+91 78934 11424,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Star%20Annapurna%20Restaurant&query_place_id=ChIJh6yrBQBDOToRf4HpRFfmFEs,Restaurant
M KFC 143 Restaurant,4.5,8.0,26-14-21,Visakhapatnam,Andhra Pradesh,IN,,+91 92993 09392,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=M%20KFC%20143%20Restaurant&query_place_id=ChIJB9-9Fp5DOToRTrNlPttw0jY,Restaurant
Chandu Caterings - Veg. | Non Veg | South & North Indian | Chinese in Vizag,4.0,5.0,"18-2-10 Lepakshi Backside, Kummari Veedhi, Main Rd, opp. South India Shopping Mall",Visakhapatnam,Andhra Pradesh,IN,https://www.sisyp.com/dir/vizag/cooking-catering/chandu-caterings/,+91 98495 82332,Chinese restaurant,Restaurant supply store,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Chandu%20Caterings%20-%20Veg.%20%7C%20Non%20Veg%20%7C%20South%20%26%20North%20Indian%20%7C%20Chinese%20in%20Vizag&query_place_id=ChIJwXA16K5DOToRufriiMsexzY,Chinese restaurant
Vizagapatam Family Restaurant,4.1,26.0,M7XX+2H3,Visakhapatnam,Andhra Pradesh,IN,,,Family restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Vizagapatam%20Family%20Restaurant&query_place_id=ChIJuRYZUwdDOToRXrbe6CpKGUA,Family restaurant
Nellore Vari Mess- Hotel Chandras,3.9,10411.0,"30-12-38, Ranga St, opp. Hirawats",Visakhapatnam,Andhra Pradesh,IN,,+91 89125 41074,Restaurant,Caterer,Hotel,,,,,,,,https://www.google.com/maps/search/?api=1&query=Nellore%20Vari%20Mess-%20Hotel%20Chandras&query_place_id=ChIJZdK-sRlDOToRSZkUrzBPkHk,Restaurant
Qismat Restaurant,4.8,26.0,"80501, Prakasham Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 83413 95983,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Qismat%20Restaurant&query_place_id=ChIJ7__5HQBDOToRwOhUtJCASH0,Restaurant
SV Restaurant,4.8,82.0,14-37-35/1,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=SV%20Restaurant&query_place_id=ChIJL8WEGgBDOToR5bGZybVsb4c,Restaurant
Akshaya’s Food Hub,4.8,119.0,"Dwaraka Nagar 1st Lane, shreemukha complex, 1st Ln",Visakhapatnam,Andhra Pradesh,IN,,,Family restaurant,Catering food and drink supplier,Food court,Restaurant,Restaurant supply store,,,,,,https://www.google.com/maps/search/?api=1&query=Akshaya%E2%80%99s%20Food%20Hub&query_place_id=ChIJGwlh9KpDOToRvMo1weXcpqI,Family restaurant
Behrouz Biryani Dwaraka Vizag,3.4,86.0,"Seethammapeta Main Rd 48/12/9, First Floor, Potluri Castle",Visakhapatnam,Andhra Pradesh,IN,http://behrouzbiryani.com/?utm_source=GMB&utm_medium=organic&utm_campaign=Behrouz-Biryani-Dwaraka-Vizag,+91 77000 50050,Biryani restaurant,Mughlai restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Behrouz%20Biryani%20Dwaraka%20Vizag&query_place_id=ChIJw_sqgrgXOToRmgfT4KqwSTA,Biryani restaurant
Barbeque Nation,4.4,10085.0,"4rd Floor, D. no 10-50-12, Sripuram, 9-Block, Waltair Main Rd, opposite Governor Bungalow, beside Reliance Trends",Visakhapatnam,Andhra Pradesh,IN,https://www.barbequenation.com/,+91 80 6902 8744,Barbecue restaurant,Buffet restaurant,Indian restaurant,Restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJk45YuGtDOToRVbSgKYBj2nU,Barbecue restaurant
Bucket Biryani,1.0,1.0,"50-81-35/4, Seethammapeta Main Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 70139 72339,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bucket%20Biryani&query_place_id=ChIJ61jH-jBDOToRVPqw7lZP2LQ,Biryani restaurant
Raju Gari Logili,3.5,11.0,"Near, Rama Talkies Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 96039 97799,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Raju%20Gari%20Logili&query_place_id=ChIJnf2txfNDOToRlsfvpZ3pGpE,Restaurant
Sampat Sai Mess (Aunty Mess),4.5,40.0,"RTC Complex, 48-5-51, 1st Ln, beside Master Homeo homes",Visakhapatnam,Andhra Pradesh,IN,,+91 79819 96590,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sampat%20Sai%20Mess%20(Aunty%20Mess)&query_place_id=ChIJbVW-DDxDOToRXZAT8xZmrmI,Restaurant
Olive Restaurant,4.3,151.0,"P8G4+PQ9, P8G4+PQ9VVisakhapatnam",Visakhapatnam,Andhra Pradesh,IN,,,South Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Olive%20Restaurant&query_place_id=ChIJA9U0TOVDOToRpPPWPLFjZvg,South Indian restaurant
Makkhan Masala,4.2,340.0,"48-8-12, 1st Ln",Visakhapatnam,Andhra Pradesh,IN,,,Vegetarian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Makkhan%20Masala&query_place_id=ChIJN1Y1bQBDOToRS1LqueBVxRs,Vegetarian restaurant
RAJU FAMILY RESTAURANT,3.6,5.0,"P8H7+XX9, Resapuvanipalem Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 77308 18857,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=RAJU%20FAMILY%20RESTAURANT&query_place_id=ChIJrXLRgUdDOToRCVWxSrD5aTA,Restaurant
Kalyani Mess,4.1,1094.0,5th Ln,Visakhapatnam,Andhra Pradesh,IN,,+91 99124 62673,North Indian restaurant,Fast food restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kalyani%20Mess&query_place_id=ChIJl62APDtDOToRbYXJW9NzBOo,North Indian restaurant
Sripatham,4.4,294.0,"09-16-2/A, VIP Rd, behind Varun Health Centre",Visakhapatnam,Andhra Pradesh,IN,https://thesripatham.com/,+91 81255 63610,South Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sripatham&query_place_id=ChIJ1VWOPdFDOToRmxqLeAh4zYc,South Indian restaurant
Kerala Biryani's,3.5,36.0,"9_1_243, Asilmetta, beside aarif opticians",Visakhapatnam,Andhra Pradesh,IN,,,Kerala restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kerala%20Biryani's&query_place_id=ChIJIQ3VcjVDOToR6RAR-aR5L9k,Kerala restaurant
AMMAS AROMA VIZAG,4.5,4.0,Sankara Matam Rd,Visakhapatnam,Andhra Pradesh,IN,,+91 81068 98877,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=AMMAS%20AROMA%20VIZAG&query_place_id=ChIJyXdaryFDOToRCLDRUG8NXkY,Restaurant
UK Parlour,4.2,2144.0,Sankara Matam Rd,Visakhapatnam,Andhra Pradesh,IN,,+91 98496 66308,Tiffin center,Box lunch supplier,Breakfast restaurant,Cafe,Coffee shop,Vegetarian restaurant,,,,,https://www.google.com/maps/search/?api=1&query=UK%20Parlour&query_place_id=ChIJh3BVyzpDOToRmw3aHeP6blA,Tiffin center
2K BIRYANIS,4.5,10.0,"Main Rd, opp. Durga Ganapathi Temple",Visakhapatnam,Andhra Pradesh,IN,,+91 98481 35331,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=2K%20BIRYANIS&query_place_id=ChIJmZXyvShDOToR0AKRDuH7_vM,Biryani restaurant
Niara family restaurant,4.6,20.0,"door no-48, up stair of hot chips, 14-57/3, Rama Talkies Rd, opp. to optical plaza",Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Niara%20family%20restaurant&query_place_id=ChIJy5F33eFDOToRhLPJbHXTXYw,Restaurant
Burgrill – OG’s of Grilled Burgers,4.5,21.0,"50-92-2/6, Surya Enclave, Santhi Puram, Shankarmatam Main Road Landmark : Canara Bank SME branch",Visakhapatnam,Andhra Pradesh,IN,https://burgrill.in/,+91 83416 15783,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Burgrill%20%E2%80%93%20OG%E2%80%99s%20of%20Grilled%20Burgers&query_place_id=ChIJ0bivknlDOToRhd1IbJV5tUk,Restaurant
Amritsar Haveli Visakhapatnam,4.3,1883.0,"2nd floor, Navaratna Trade Center, beside Meghalaya Hotel",Visakhapatnam,Andhra Pradesh,IN,http://www.amritsarhaveligroup.com/,+91 73867 77642,Punjabi restaurant,Fast food restaurant,Indian restaurant,Indian takeaway,Lunch restaurant,North Indian restaurant,Restaurant,Vegetarian restaurant,,,https://www.google.com/maps/search/?api=1&query=Amritsar%20Haveli%20Visakhapatnam&query_place_id=ChIJJbJUJrZDOToRY0Kt5iqmwTc,Punjabi restaurant
Halal Fried Chicken (HFC),4.8,47.0,P8H4+4MM,Visakhapatnam,Andhra Pradesh,IN,http://instagram.com/halalfriedchickenvizag,+91 98491 68530,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Halal%20Fried%20Chicken%20(HFC)&query_place_id=ChIJNdqtdHJDOToRw6R_hexI6ZU,Fast food restaurant
NEW TANDOORI Inn,3.6,3097.0,"Municipal Complex, Diamond Park Jct",Visakhapatnam,Andhra Pradesh,IN,,+91 93462 12111,Biryani restaurant,Chicken restaurant,Chinese restaurant,Indian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=NEW%20TANDOORI%20Inn&query_place_id=ChIJU5LEqCRDOToRMMFtLrwWfik,Biryani restaurant
Pinkys kitchen,4.3,36.0,P8H6+RC5,Visakhapatnam,Andhra Pradesh,IN,,+91 77801 83023,Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Pinkys%20kitchen&query_place_id=ChIJ3-yVrJVDOToRLYHRZCfBz14,Indian restaurant
New Muntaj Biryani,2.8,143.0,,Visakhapatnam,Andhra Pradesh,IN,https://newmuntajbiryani.menew.in/,+91 72860 46441,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=New%20Muntaj%20Biryani&query_place_id=ChIJI9AtqRZDOToRuvPRUcjfwg4,Biryani restaurant
The Red Box - Dwaraka Nagar,3.9,435.0,"Sunder Residency, Sri Venkateswara Nilayam, Ground Floor, Srinagar Floor, Ramatalkies Market Road",Visakhapatnam,Andhra Pradesh,IN,http://www.theredbox.in/,+91 89394 44411,Chinese restaurant,Asian restaurant,Fast food restaurant,Thai restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Red%20Box%20-%20Dwaraka%20Nagar&query_place_id=ChIJUeSY-YpDOToRMxvgS835vQ0,Chinese restaurant
Rizvi Biryani,4.2,276.0,"48-14-120, Yaseen Masjid",Visakhapatnam,Andhra Pradesh,IN,,+91 90101 25433,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rizvi%20Biryani&query_place_id=ChIJ-XN3iDhDOToRPv7A3dACUGg,Biryani restaurant
The Good Apple,4.2,64.0,"P8H3+CCR, Sankara Matam Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 83319 93700,Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Good%20Apple&query_place_id=ChIJfwHHcAxDOToRT22aY-qXOjM,Indian restaurant
SR Paradise Family Restaurant,4.0,146.0,,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=SR%20Paradise%20Family%20Restaurant&query_place_id=ChIJFXKXiAJDOToRIKCNTmkOJmc,Restaurant
TFC tollywood food court,3.9,57.0,"48-2-4/1/1, beside sai baba temple, reddy hospital road, Rama Talkies Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 86397 27905,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=TFC%20tollywood%20food%20court&query_place_id=ChIJYwYFgIVDOToRLIQomRS6AQg,Fast food restaurant
Xpress Bucket Biryani,4.1,87.0,"to complex, D.No 9-1-233, DAR Reddy plaza Opposite Rama talkies theatre CBM Compound Rama talkies, route",Visakhapatnam,Andhra Pradesh,IN,,+91 73311 29323,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Xpress%20Bucket%20Biryani&query_place_id=ChIJ4wJpKDNDOToRV2MqxUnl54c,Biryani restaurant
New Deepak Punjabi Dhaba,4.7,3085.0,"D.N.50, 92-35/4, Sankara Matam Rd, near incom tax office",Visakhapatnam,Andhra Pradesh,IN,https://new-deepak-punjabi-dhaba.grexa.site/,+91 62626 16868,Restaurant,Chicken restaurant,Dhaba,Family restaurant,Hotel,Indian restaurant,North Indian restaurant,Punjabi restaurant,Vegetarian restaurant,,https://www.google.com/maps/search/?api=1&query=New%20Deepak%20Punjabi%20Dhaba&query_place_id=ChIJ6bGXYKxDOToRmdMf2B_u7JA,Restaurant
"SOMAA, Siripuram",4.3,7712.0,"4TH FLOOR, VIP CENTER, VIP Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 92111 12666,Live music bar,Bar,Pub,Restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=SOMAA%2C%20Siripuram&query_place_id=ChIJR4KYy0BDOToRa8gof45nCVw,Live music bar
Kinnera Restaurant,3.8,336.0,P8P3+PWC,Visakhapatnam,Andhra Pradesh,IN,,,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kinnera%20Restaurant&query_place_id=ChIJDWSwwjFDOToRZZoQSfUIGQw,Biryani restaurant
Hello VizaG Restaurant,4.2,178.0,"Rama Takies, opp: rainbow grand, Reddy Hospital Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 94916 17171,Indian restaurant,Chinese restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Hello%20VizaG%20Restaurant&query_place_id=ChIJ9XEcYm9DOToR2RP-bUSO_FE,Indian restaurant
Siddi My South Indian Tiffins,4.3,841.0,"Shop no. 1 & 2, GVMC Complex, opp. Diamond Park Junction, near Tandoori Inn",Visakhapatnam,Andhra Pradesh,IN,,+91 83672 65049,Country food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Siddi%20My%20South%20Indian%20Tiffins&query_place_id=ChIJnZRSQcldOToRrBFXygXlZ94,Country food restaurant
MYZ - UNO Vizag,4.4,11775.0,"Central building, 4, VIP Rd",Visakhapatnam,Andhra Pradesh,IN,http://myzuno.com/,+91 99917 25555,Brewery,Bar,Brewpub,Dance club,Family restaurant,Pub,,,,,https://www.google.com/maps/search/?api=1&query=MYZ%20-%20UNO%20Vizag&query_place_id=ChIJc_TEiztDOToRiOr_45oreSk,Brewery
Planet 9 restaurant,4.4,543.0,"Ground floor, Sri Rama Sai Gayatri arcade, Rama Talkies Rd, beside Axis bank",Visakhapatnam,Andhra Pradesh,IN,,+91 76739 90999,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Planet%209%20restaurant&query_place_id=ChIJUZT78P9DOToR_-vknPESX74,Restaurant
