"route_id,source_area,pub_name,pub_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,night_travel_friendly,description"
"631,Gajuwaka,The Eatery,Waltair,Waltair Junction Bus Stop,28C,APSRTC City Ordinary,Gajuwaka X Rd â†’ Ukkunagaram â†’ Steel Plant Gate â†’ Daba Garden â†’ Siripuram â†’ RTC Complex,18,60 mins,30,05:30,22:30,25,0.3,Yes,""Take bus 28C from Gajuwaka to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"632,Kommadi,The Eatery,Waltair,Waltair Junction Bus Stop,500C,APSRTC City Ordinary,Kommadi Jn â†’ Madhurawada â†’ Bheemunipatnam Rd â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,22,73 mins,35,05:30,21:00,25,0.3,Yes,""Take bus 500C from Kommadi to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"633,Madhurawada,The Eatery,Waltair,Waltair Junction Bus Stop,218C,APSRTC City Ordinary,Madhurawada â†’ Kommadi â†’ GITAM â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony,20,66 mins,35,05:30,22:30,25,0.3,Yes,""Take bus 218C from Madhurawada to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"634,PM Palem,The Eatery,Waltair,Waltair Junction Bus Stop,299A,APSRTC City Ordinary,PM Palem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,16,53 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 299A from PM Palem to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"635,MVP Colony,The Eatery,Waltair,Waltair Junction Bus Stop,215A,APSRTC City Ordinary,MVP Colony Sector 7 â†’ Seethammadhara â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,8,26 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 215A from MVP Colony to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"636,Siripuram,The Eatery,Waltair,Waltair Junction Bus Stop,900A,APSRTC City Ordinary,Siripuram Jn â†’ VIP Rd â†’ RTC Complex â†’ Dwaraka Nagar,3,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 900A from Siripuram to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"637,Dwaraka Nagar,The Eatery,Waltair,Waltair Junction Bus Stop,902A,APSRTC City Ordinary,Dwaraka Nagar â†’ Siripuram â†’ Jagadamba â†’ Maharanipeta,4,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 902A from Dwaraka Nagar to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"638,Maddilapalem,The Eatery,Waltair,Waltair Junction Bus Stop,211A,APSRTC City Ordinary,Maddilapalem â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,7,23 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 211A from Maddilapalem to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"639,NAD Junction,The Eatery,Waltair,Waltair Junction Bus Stop,400A,APSRTC City Ordinary,NAD Jn â†’ Maddilapalem â†’ Seethammadhara â†’ Siripuram â†’ Jagadamba,15,50 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 400A from NAD Junction to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"640,Seethammadhara,The Eatery,Waltair,Waltair Junction Bus Stop,213C,APSRTC City Ordinary,Seethammadhara â†’ Maddilapalem â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 213C from Seethammadhara to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"641,Jagadamba,The Eatery,Waltair,Waltair Junction Bus Stop,905A,APSRTC City Ordinary,Jagadamba Jn â†’ Asilmetta â†’ Siripuram â†’ Dwaraka Nagar â†’ Waltair,4,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 905A from Jagadamba to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"642,Asilmetta,The Eatery,Waltair,Waltair Junction Bus Stop,907A,APSRTC City Ordinary,Asilmetta â†’ Jagadamba â†’ Siripuram â†’ Maharanipeta â†’ RK Beach,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 907A from Asilmetta to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"643,Railway Station,The Eatery,Waltair,Waltair Junction Bus Stop,909A,APSRTC City Ordinary,Railway Station â†’ RTC Complex â†’ Dwaraka Nagar â†’ Siripuram â†’ Jagadamba,6,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 909A from Railway Station to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"644,RTC Complex,The Eatery,Waltair,Waltair Junction Bus Stop,100A,APSRTC City Ordinary,RTC Complex â†’ Siripuram â†’ Dwaraka Nagar â†’ Jagadamba â†’ Waltair,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 100A from RTC Complex to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"645,Airport,The Eatery,Waltair,Waltair Junction Bus Stop,APTC-1,APSRTC City Ordinary,Airport â†’ Kommadi â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,14,46 mins,25,05:30,22:30,20,0.3,Yes,""Take bus APTC-1 from Airport to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"646,Pendurthi,The Eatery,Waltair,Waltair Junction Bus Stop,320A,APSRTC City Ordinary,Pendurthi â†’ Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony,25,83 mins,45,05:30,21:00,25,0.3,Limited,""Take bus 320A from Pendurthi to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"647,Gopalapatnam,The Eatery,Waltair,Waltair Junction Bus Stop,310A,APSRTC City Ordinary,Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,18,60 mins,30,05:30,22:30,25,0.3,Yes,""Take bus 310A from Gopalapatnam to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"648,Kurmannapalem,The Eatery,Waltair,Waltair Junction Bus Stop,330A,APSRTC City Ordinary,Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,20,66 mins,35,05:30,22:30,25,0.3,Yes,""Take bus 330A from Kurmannapalem to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"649,Auto Nagar,The Eatery,Waltair,Waltair Junction Bus Stop,402A,APSRTC City Ordinary,Auto Nagar â†’ NAD Jn â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,14,46 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 402A from Auto Nagar to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"650,Steel Plant,The Eatery,Waltair,Waltair Junction Bus Stop,28P,APSRTC City Ordinary,Steel Plant â†’ Gajuwaka â†’ Ukkunagaram â†’ Daba Garden â†’ Siripuram â†’ Jagadamba,16,53 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 28P from Steel Plant to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"651,Scindia,The Eatery,Waltair,Waltair Junction Bus Stop,350A,APSRTC City Ordinary,Scindia â†’ One Town â†’ Poorna Market â†’ Jagadamba â†’ Siripuram,12,40 mins,20,05:30,22:30,20,0.3,Yes,""Take bus 350A from Scindia to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"652,One Town,The Eatery,Waltair,Waltair Junction Bus Stop,101A,APSRTC City Ordinary,One Town â†’ Poorna Market â†’ Jagadamba â†’ Asilmetta â†’ Siripuram,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 101A from One Town to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"653,Poorna Market,The Eatery,Waltair,Waltair Junction Bus Stop,103A,APSRTC City Ordinary,Poorna Market â†’ One Town â†’ Jagadamba â†’ Siripuram â†’ Dwaraka Nagar,4,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 103A from Poorna Market to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"654,RK Beach,The Eatery,Waltair,Waltair Junction Bus Stop,900P,APSRTC City Ordinary,RK Beach â†’ Maharanipeta â†’ Jagadamba â†’ Siripuram â†’ Dwaraka Nagar,6,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 900P from RK Beach to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"655,Rushikonda,The Eatery,Waltair,Waltair Junction Bus Stop,218P,APSRTC City Ordinary,Rushikonda â†’ Lawson's Bay â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,12,40 mins,20,05:30,22:30,20,0.3,Yes,""Take bus 218P from Rushikonda to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"656,Lawson's Bay,The Eatery,Waltair,Waltair Junction Bus Stop,901P,APSRTC City Ordinary,Lawson's Bay â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,8,26 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 901P from Lawson's Bay to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"657,Hanumanthuwaka,The Eatery,Waltair,Waltair Junction Bus Stop,303A,APSRTC City Ordinary,Hanumanthuwaka â†’ Seethammadhara â†’ MVP Colony â†’ Maddilapalem â†’ Siripuram,10,33 mins,15,05:30,22:30,20,0.3,Yes,""Take bus 303A from Hanumanthuwaka to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"658,Arilova,The Eatery,Waltair,Waltair Junction Bus Stop,305A,APSRTC City Ordinary,Arilova â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,22,73 mins,35,05:30,21:00,25,0.3,Yes,""Take bus 305A from Arilova to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"659,Beach Road,The Eatery,Waltair,Waltair Junction Bus Stop,800A,APSRTC City Ordinary,Beach Road â†’ RK Beach â†’ Maharanipeta â†’ Jagadamba â†’ Siripuram,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 800A from Beach Road to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"660,Kailasagiri,The Eatery,Waltair,Waltair Junction Bus Stop,802A,APSRTC City Ordinary,Kailasagiri â†’ Beach Rd â†’ RK Beach â†’ Jagadamba â†’ Siripuram,10,33 mins,15,05:30,22:30,20,0.3,Yes,""Take bus 802A from Kailasagiri to Waltair Junction Bus Stop, then walk 0.3km to The Eatery in Waltair."""
"661,Gajuwaka,The Resto,Waltair,Waltair Junction Bus Stop,28C,APSRTC City Ordinary,Gajuwaka X Rd â†’ Ukkunagaram â†’ Steel Plant Gate â†’ Daba Garden â†’ Siripuram â†’ RTC Complex,18,60 mins,30,05:30,22:30,25,0.3,Yes,""Take bus 28C from Gajuwaka to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"662,Kommadi,The Resto,Waltair,Waltair Junction Bus Stop,500C,APSRTC City Ordinary,Kommadi Jn â†’ Madhurawada â†’ Bheemunipatnam Rd â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,22,73 mins,35,05:30,21:00,25,0.3,Yes,""Take bus 500C from Kommadi to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"663,Madhurawada,The Resto,Waltair,Waltair Junction Bus Stop,218C,APSRTC City Ordinary,Madhurawada â†’ Kommadi â†’ GITAM â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony,20,66 mins,35,05:30,22:30,25,0.3,Yes,""Take bus 218C from Madhurawada to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"664,PM Palem,The Resto,Waltair,Waltair Junction Bus Stop,299A,APSRTC City Ordinary,PM Palem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,16,53 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 299A from PM Palem to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"665,MVP Colony,The Resto,Waltair,Waltair Junction Bus Stop,215A,APSRTC City Ordinary,MVP Colony Sector 7 â†’ Seethammadhara â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,8,26 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 215A from MVP Colony to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"666,Siripuram,The Resto,Waltair,Waltair Junction Bus Stop,900A,APSRTC City Ordinary,Siripuram Jn â†’ VIP Rd â†’ RTC Complex â†’ Dwaraka Nagar,3,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 900A from Siripuram to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"667,Dwaraka Nagar,The Resto,Waltair,Waltair Junction Bus Stop,902A,APSRTC City Ordinary,Dwaraka Nagar â†’ Siripuram â†’ Jagadamba â†’ Maharanipeta,4,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 902A from Dwaraka Nagar to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"668,Maddilapalem,The Resto,Waltair,Waltair Junction Bus Stop,211A,APSRTC City Ordinary,Maddilapalem â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,7,23 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 211A from Maddilapalem to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"669,NAD Junction,The Resto,Waltair,Waltair Junction Bus Stop,400A,APSRTC City Ordinary,NAD Jn â†’ Maddilapalem â†’ Seethammadhara â†’ Siripuram â†’ Jagadamba,15,50 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 400A from NAD Junction to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"670,Seethammadhara,The Resto,Waltair,Waltair Junction Bus Stop,213C,APSRTC City Ordinary,Seethammadhara â†’ Maddilapalem â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 213C from Seethammadhara to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"671,Jagadamba,The Resto,Waltair,Waltair Junction Bus Stop,905A,APSRTC City Ordinary,Jagadamba Jn â†’ Asilmetta â†’ Siripuram â†’ Dwaraka Nagar â†’ Waltair,4,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 905A from Jagadamba to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"672,Asilmetta,The Resto,Waltair,Waltair Junction Bus Stop,907A,APSRTC City Ordinary,Asilmetta â†’ Jagadamba â†’ Siripuram â†’ Maharanipeta â†’ RK Beach,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 907A from Asilmetta to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"673,Railway Station,The Resto,Waltair,Waltair Junction Bus Stop,909A,APSRTC City Ordinary,Railway Station â†’ RTC Complex â†’ Dwaraka Nagar â†’ Siripuram â†’ Jagadamba,6,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 909A from Railway Station to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"674,RTC Complex,The Resto,Waltair,Waltair Junction Bus Stop,100A,APSRTC City Ordinary,RTC Complex â†’ Siripuram â†’ Dwaraka Nagar â†’ Jagadamba â†’ Waltair,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 100A from RTC Complex to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"675,Airport,The Resto,Waltair,Waltair Junction Bus Stop,APTC-1,APSRTC City Ordinary,Airport â†’ Kommadi â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,14,46 mins,25,05:30,22:30,20,0.3,Yes,""Take bus APTC-1 from Airport to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"676,Pendurthi,The Resto,Waltair,Waltair Junction Bus Stop,320A,APSRTC City Ordinary,Pendurthi â†’ Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony,25,83 mins,45,05:30,21:00,25,0.3,Limited,""Take bus 320A from Pendurthi to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"677,Gopalapatnam,The Resto,Waltair,Waltair Junction Bus Stop,310A,APSRTC City Ordinary,Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,18,60 mins,30,05:30,22:30,25,0.3,Yes,""Take bus 310A from Gopalapatnam to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"678,Kurmannapalem,The Resto,Waltair,Waltair Junction Bus Stop,330A,APSRTC City Ordinary,Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,20,66 mins,35,05:30,22:30,25,0.3,Yes,""Take bus 330A from Kurmannapalem to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"679,Auto Nagar,The Resto,Waltair,Waltair Junction Bus Stop,402A,APSRTC City Ordinary,Auto Nagar â†’ NAD Jn â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,14,46 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 402A from Auto Nagar to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"680,Steel Plant,The Resto,Waltair,Waltair Junction Bus Stop,28P,APSRTC City Ordinary,Steel Plant â†’ Gajuwaka â†’ Ukkunagaram â†’ Daba Garden â†’ Siripuram â†’ Jagadamba,16,53 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 28P from Steel Plant to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"681,Scindia,The Resto,Waltair,Waltair Junction Bus Stop,350A,APSRTC City Ordinary,Scindia â†’ One Town â†’ Poorna Market â†’ Jagadamba â†’ Siripuram,12,40 mins,20,05:30,22:30,20,0.3,Yes,""Take bus 350A from Scindia to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"682,One Town,The Resto,Waltair,Waltair Junction Bus Stop,101A,APSRTC City Ordinary,One Town â†’ Poorna Market â†’ Jagadamba â†’ Asilmetta â†’ Siripuram,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 101A from One Town to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"683,Poorna Market,The Resto,Waltair,Waltair Junction Bus Stop,103A,APSRTC City Ordinary,Poorna Market â†’ One Town â†’ Jagadamba â†’ Siripuram â†’ Dwaraka Nagar,4,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 103A from Poorna Market to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"684,RK Beach,The Resto,Waltair,Waltair Junction Bus Stop,900P,APSRTC City Ordinary,RK Beach â†’ Maharanipeta â†’ Jagadamba â†’ Siripuram â†’ Dwaraka Nagar,6,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 900P from RK Beach to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"685,Rushikonda,The Resto,Waltair,Waltair Junction Bus Stop,218P,APSRTC City Ordinary,Rushikonda â†’ Lawson's Bay â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,12,40 mins,20,05:30,22:30,20,0.3,Yes,""Take bus 218P from Rushikonda to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"686,Lawson's Bay,The Resto,Waltair,Waltair Junction Bus Stop,901P,APSRTC City Ordinary,Lawson's Bay â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,8,26 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 901P from Lawson's Bay to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"687,Hanumanthuwaka,The Resto,Waltair,Waltair Junction Bus Stop,303A,APSRTC City Ordinary,Hanumanthuwaka â†’ Seethammadhara â†’ MVP Colony â†’ Maddilapalem â†’ Siripuram,10,33 mins,15,05:30,22:30,20,0.3,Yes,""Take bus 303A from Hanumanthuwaka to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"688,Arilova,The Resto,Waltair,Waltair Junction Bus Stop,305A,APSRTC City Ordinary,Arilova â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,22,73 mins,35,05:30,21:00,25,0.3,Yes,""Take bus 305A from Arilova to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"689,Beach Road,The Resto,Waltair,Waltair Junction Bus Stop,800A,APSRTC City Ordinary,Beach Road â†’ RK Beach â†’ Maharanipeta â†’ Jagadamba â†’ Siripuram,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 800A from Beach Road to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"690,Kailasagiri,The Resto,Waltair,Waltair Junction Bus Stop,802A,APSRTC City Ordinary,Kailasagiri â†’ Beach Rd â†’ RK Beach â†’ Jagadamba â†’ Siripuram,10,33 mins,15,05:30,22:30,20,0.3,Yes,""Take bus 802A from Kailasagiri to Waltair Junction Bus Stop, then walk 0.3km to The Resto in Waltair."""
"691,Gajuwaka,Upland Bistro,Waltair,Waltair Junction Bus Stop,28C,APSRTC City Ordinary,Gajuwaka X Rd â†’ Ukkunagaram â†’ Steel Plant Gate â†’ Daba Garden â†’ Siripuram â†’ RTC Complex,18,60 mins,30,05:30,22:30,25,0.3,Yes,""Take bus 28C from Gajuwaka to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"692,Kommadi,Upland Bistro,Waltair,Waltair Junction Bus Stop,500C,APSRTC City Ordinary,Kommadi Jn â†’ Madhurawada â†’ Bheemunipatnam Rd â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,22,73 mins,35,05:30,21:00,25,0.3,Yes,""Take bus 500C from Kommadi to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"693,Madhurawada,Upland Bistro,Waltair,Waltair Junction Bus Stop,218C,APSRTC City Ordinary,Madhurawada â†’ Kommadi â†’ GITAM â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony,20,66 mins,35,05:30,22:30,25,0.3,Yes,""Take bus 218C from Madhurawada to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"694,PM Palem,Upland Bistro,Waltair,Waltair Junction Bus Stop,299A,APSRTC City Ordinary,PM Palem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,16,53 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 299A from PM Palem to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"695,MVP Colony,Upland Bistro,Waltair,Waltair Junction Bus Stop,215A,APSRTC City Ordinary,MVP Colony Sector 7 â†’ Seethammadhara â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,8,26 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 215A from MVP Colony to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"696,Siripuram,Upland Bistro,Waltair,Waltair Junction Bus Stop,900A,APSRTC City Ordinary,Siripuram Jn â†’ VIP Rd â†’ RTC Complex â†’ Dwaraka Nagar,3,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 900A from Siripuram to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"697,Dwaraka Nagar,Upland Bistro,Waltair,Waltair Junction Bus Stop,902A,APSRTC City Ordinary,Dwaraka Nagar â†’ Siripuram â†’ Jagadamba â†’ Maharanipeta,4,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 902A from Dwaraka Nagar to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"698,Maddilapalem,Upland Bistro,Waltair,Waltair Junction Bus Stop,211A,APSRTC City Ordinary,Maddilapalem â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,7,23 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 211A from Maddilapalem to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"699,NAD Junction,Upland Bistro,Waltair,Waltair Junction Bus Stop,400A,APSRTC City Ordinary,NAD Jn â†’ Maddilapalem â†’ Seethammadhara â†’ Siripuram â†’ Jagadamba,15,50 mins,25,05:30,22:30,20,0.3,Yes,""Take bus 400A from NAD Junction to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"700,Seethammadhara,Upland Bistro,Waltair,Waltair Junction Bus Stop,213C,APSRTC City Ordinary,Seethammadhara â†’ Maddilapalem â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 213C from Seethammadhara to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"701,Jagadamba,Upland Bistro,Waltair,Waltair Junction Bus Stop,905A,APSRTC City Ordinary,Jagadamba Jn â†’ Asilmetta â†’ Siripuram â†’ Dwaraka Nagar â†’ Waltair,4,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 905A from Jagadamba to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"702,Asilmetta,Upland Bistro,Waltair,Waltair Junction Bus Stop,907A,APSRTC City Ordinary,Asilmetta â†’ Jagadamba â†’ Siripuram â†’ Maharanipeta â†’ RK Beach,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 907A from Asilmetta to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"703,Railway Station,Upland Bistro,Waltair,Waltair Junction Bus Stop,909A,APSRTC City Ordinary,Railway Station â†’ RTC Complex â†’ Dwaraka Nagar â†’ Siripuram â†’ Jagadamba,6,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 909A from Railway Station to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"704,RTC Complex,Upland Bistro,Waltair,Waltair Junction Bus Stop,100A,APSRTC City Ordinary,RTC Complex â†’ Siripuram â†’ Dwaraka Nagar â†’ Jagadamba â†’ Waltair,5,20 mins,10,05:30,22:30,15,0.3,Yes,""Take bus 100A from RTC Complex to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"705,Airport,Upland Bistro,Waltair,Waltair Junction Bus Stop,APTC-1,APSRTC City Ordinary,Airport â†’ Kommadi â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,14,46 mins,25,05:30,22:30,20,0.3,Yes,""Take bus APTC-1 from Airport to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"706,Pendurthi,Upland Bistro,Waltair,Waltair Junction Bus Stop,320A,APSRTC City Ordinary,Pendurthi â†’ Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony,25,83 mins,45,05:30,21:00,25,0.3,Limited,""Take bus 320A from Pendurthi to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
"707,Gopalapatnam,Upland Bistro,Waltair,Waltair Junction Bus Stop,310A,APSRTC City Ordinary,Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,18,60 mins,30,05:30,22:30,25,0.3,Yes,""Take bus 310A from Gopalapatnam to Waltair Junction Bus Stop, then walk 0.3km to Upland Bistro in Waltair."""
