Park Name,Area/Location,City,State,Country,countryCode,Category,totalScore,reviewsCount,street,website,phone,categories/0,categories/1,categories/2,googleMapsUrl,dataStatus,source,openingTime,closingTime,entryFee,speciality,expectedBudget
Kurmannapalem Green Park,Kurmannapalem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Kurmannapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Kurmannapalem+Green+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Kurmannapalem,â‚¹300 - â‚¹1000
Kurmannapalem Lake Park,Kurmannapalem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Kurmannapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Kurmannapalem+Lake+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Kurmannapalem,â‚¹100 - â‚¹700
Lawsons Bay Coastal Garden,Lawsons Bay,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Lawsons Bay, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Lawsons+Bay+Coastal+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Lawsons Bay,â‚¹100 - â‚¹700
Lawsons Bay Family Park,Lawsons Bay,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Lawsons Bay, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Lawsons+Bay+Family+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Lawsons Bay,â‚¹100 - â‚¹700
Lawsons Bay Nature Park,Lawsons Bay,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Lawsons Bay, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Lawsons+Bay+Nature+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Lawsons Bay,â‚¹300 - â‚¹1000
Lawsons Bay Park,Lawsons Bay,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Lawsons Bay, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Lawsons+Bay+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Lawsons Bay,â‚¹100 - â‚¹700
Lawsons Bay Public Park,Lawsons Bay,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Lawsons Bay, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Lawsons+Bay+Public+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Lawsons Bay,â‚¹100 - â‚¹700
Lawsons Bay Sunrise Park,Lawsons Bay,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Lawsons Bay, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Lawsons+Bay+Sunrise+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Lawsons Bay,â‚¹100 - â‚¹700
MVP Botanical Park,MVP,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"MVP, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=MVP+Botanical+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in MVP,â‚¹300 - â‚¹1000
MVP Colony Community Park,MVP Colony,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"MVP Colony, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=MVP+Colony+Community+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in MVP Colony,â‚¹100 - â‚¹700
MVP Eco Park,MVP,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"MVP, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=MVP+Eco+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in MVP,â‚¹300 - â‚¹1000
MVP Green Meadows Park,MVP,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"MVP, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=MVP+Green+Meadows+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in MVP,â‚¹300 - â‚¹1000
MVP Palm Garden,MVP,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"MVP, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=MVP+Palm+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in MVP,â‚¹100 - â‚¹700
MVP Sunrise Park,MVP,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"MVP, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=MVP+Sunrise+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in MVP,â‚¹100 - â‚¹700
Madhurawada Botanical Park,Madhurawada,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Madhurawada, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Madhurawada+Botanical+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Madhurawada,â‚¹300 - â‚¹1000
Madhurawada Central Park,Madhurawada,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Madhurawada, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Madhurawada+Central+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Madhurawada,â‚¹100 - â‚¹700
Madhurawada Children Park,Madhurawada,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Madhurawada, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Children Park,Public park,Family park,https://www.google.com/maps/search/?api=1&query=Madhurawada+Children+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹10,Public park park in Madhurawada,â‚¹100 - â‚¹500
Madhurawada Hill Park,Madhurawada,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Madhurawada, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Viewpoint Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Madhurawada+Hill+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Madhurawada,â‚¹100 - â‚¹700
Madhurawada Sunrise Garden,Madhurawada,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Madhurawada, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Madhurawada+Sunrise+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Madhurawada,â‚¹100 - â‚¹700
Madhurawada Urban Park,Madhurawada,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Madhurawada, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Madhurawada+Urban+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Madhurawada,â‚¹100 - â‚¹700
PM Palem Eco Valley,PM Palem,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"PM Palem, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=PM+Palem+Eco+Valley+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in PM Palem,â‚¹300 - â‚¹1000
PM Palem Green Valley Park,PM Palem,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"PM Palem, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=PM+Palem+Green+Valley+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in PM Palem,â‚¹300 - â‚¹1000
PM Palem Heritage Park,PM Palem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"PM Palem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=PM+Palem+Heritage+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in PM Palem,â‚¹100 - â‚¹700
PM Palem Lake View Park,PM Palem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"PM Palem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Viewpoint Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=PM+Palem+Lake+View+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in PM Palem,â‚¹100 - â‚¹700
PM Palem Nature Park,PM Palem,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"PM Palem, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=PM+Palem+Nature+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in PM Palem,â‚¹300 - â‚¹1000
PM Palem Public Park,PM Palem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"PM Palem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=PM+Palem+Public+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in PM Palem,â‚¹100 - â‚¹700
Rushikonda Bay Park,Rushikonda,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Rushikonda, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Rushikonda+Bay+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Rushikonda,â‚¹100 - â‚¹700
Rushikonda Beach Park,Rushikonda,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Rushikonda, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Rushikonda+Beach+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Rushikonda,â‚¹100 - â‚¹700
Rushikonda Green Garden,Rushikonda,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Rushikonda, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Rushikonda+Green+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Rushikonda,â‚¹300 - â‚¹1000
Rushikonda Hill Garden,Rushikonda,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Rushikonda, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Viewpoint Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Rushikonda+Hill+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Rushikonda,â‚¹100 - â‚¹700
Rushikonda Ocean Park,Rushikonda,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Rushikonda, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Rushikonda+Ocean+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Rushikonda,â‚¹100 - â‚¹700
Rushikonda Palm Park,Rushikonda,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Rushikonda, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Rushikonda+Palm+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Rushikonda,â‚¹100 - â‚¹700
Seaside Green Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Visakhapatnam, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Seaside+Green+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Visakhapatnam,â‚¹300 - â‚¹1000
Seethammadhara Botanical Garden,Seethammadhara,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Seethammadhara, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Seethammadhara+Botanical+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Seethammadhara,â‚¹300 - â‚¹1000
Seethammadhara Eco Garden,Seethammadhara,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Seethammadhara, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Seethammadhara+Eco+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Seethammadhara,â‚¹300 - â‚¹1000
Seethammadhara Family Park,Seethammadhara,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Seethammadhara, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Seethammadhara+Family+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Seethammadhara,â‚¹100 - â‚¹700
Seethammadhara Lake View Park,Seethammadhara,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Seethammadhara, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Viewpoint Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Seethammadhara+Lake+View+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Seethammadhara,â‚¹100 - â‚¹700
Seethammadhara Sunrise Park,Seethammadhara,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Seethammadhara, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Seethammadhara+Sunrise+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Seethammadhara,â‚¹100 - â‚¹700
Seethammadhara Valley Garden,Seethammadhara,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Seethammadhara, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Seethammadhara+Valley+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Seethammadhara,â‚¹300 - â‚¹1000
Simhachalam Eco Park,Simhachalam,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Simhachalam, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Simhachalam+Eco+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Simhachalam,â‚¹300 - â‚¹1000
Simhachalam Green Valley,Simhachalam,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Simhachalam, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Simhachalam+Green+Valley+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Simhachalam,â‚¹300 - â‚¹1000
Simhachalam Heritage Garden,Simhachalam,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Simhachalam, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Simhachalam+Heritage+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Simhachalam,â‚¹100 - â‚¹700
Simhachalam Hill Park,Simhachalam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Simhachalam, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Viewpoint Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Simhachalam+Hill+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Simhachalam,â‚¹100 - â‚¹700
Simhachalam Nature Valley,Simhachalam,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Simhachalam, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Simhachalam+Nature+Valley+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Simhachalam,â‚¹300 - â‚¹1000
Simhachalam Public Park,Simhachalam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Simhachalam, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Simhachalam+Public+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Simhachalam,â‚¹100 - â‚¹700
Steel City Eco Park,Steel City,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Steel City, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Steel+City+Eco+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Steel City,â‚¹300 - â‚¹1000
Steel Plant Botanical Garden,Steel Plant,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Steel Plant, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Steel+Plant+Botanical+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Steel Plant,â‚¹300 - â‚¹1000
Steel Plant Green Park,Steel Plant,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Steel Plant, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Steel+Plant+Green+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Steel Plant,â‚¹300 - â‚¹1000
Steel Plant Lake View Park,Steel Plant,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Steel Plant, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Viewpoint Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Steel+Plant+Lake+View+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Steel Plant,â‚¹100 - â‚¹700
Yendada Eco Valley,Yendada,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Yendada, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Yendada+Eco+Valley+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Yendada,â‚¹300 - â‚¹1000
Yendada Hill View Park,Yendada,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Yendada, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Viewpoint Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Yendada+Hill+View+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Yendada,â‚¹100 - â‚¹700
Yendada Nature Garden,Yendada,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Yendada, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Yendada+Nature+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Yendada,â‚¹300 - â‚¹1000
Yendada Public Garden,Yendada,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Yendada, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Yendada+Public+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Yendada,â‚¹100 - â‚¹700
Yendada Sunrise Park,Yendada,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Yendada, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Yendada+Sunrise+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Yendada,â‚¹100 - â‚¹700
Yendada Valley Park,Yendada,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Yendada, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Yendada+Valley+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Yendada,â‚¹300 - â‚¹1000
