Hospital_Name,City,State,Specialty,Expected_Budget_INR_Lakhs
Starpharmacy,Madhuravada,Andhra Pradesh,Medical Center,91.06
Victory Reading Room Madhurawada,Madhuravada,Andhra Pradesh,Studying center,123.95
Best General Practitioner - Dr. Suryakala | 2+ Yrs Of Exp. | Visakhapatnam,Madhuravada,Andhra Pradesh,Hospital,999.96
Divya Medical & Genareal,Madhuravada,Andhra Pradesh,Medical Center,351.56
Dr. Gayatri I Best Pulmonologist Near Me | 20+ Yrs Of Exp. | Visakhapatnam,Madhuravada,Andhra Pradesh,Hospital,1786.6
Genuine Medicals,"Kommadi, Madhuravada",Andhra Pradesh,Hospital,994.71
Future Doctor Clinics,Madhuravada,Andhra Pradesh,Hospital,1540.51
Since 2012 Laxmi Dental Care Multi Speciality Clinic,Madhuravada,Andhra Pradesh,Dental clinic,57.47
Priya Home Care & Medical Equipments Services,Madhuravada,Andhra Pradesh,Home health care service,285.2
Dr. G Sarveswara Rao,apollo clinic,Madhuravada,+91 80 4696 1837,249.66
Shiva Hair Fixing Centre,Madhuravada,Andhra Pradesh,Hair replacement service,178.53
Dr. Namratha Arisetty | Consult With Best Obstetrics & Gynaecology Doctor Near Me | Endometriosis | 12+ Yrs. Of Exp.,Madhuravada,Andhra Pradesh,Hospital,1182.24
Unani & Hijama Center (Cupping Therepy),Madhuravada,Andhra Pradesh,Medical clinic,83.47
Aarogya Children Home,Madhuravada,Andhra Pradesh,Orphanage,117.28
Yekadanta Pharmacy. Generic Medical Shop,Madhuravada,Andhra Pradesh,Medical Center,486.58
Knauf Authorised Dealer - Madhurawada,"ground floor, plot no 69, nearby visakha eye hospital","Visakhapatnam, Madhuravada",+91 731 437 7302,139.13
Kings Dental Care,Madhuravada,Andhra Pradesh,Dental clinic,86.9
Apollo Pharmacy Madhurawada,Madhuravada,Andhra Pradesh,Pharmacy,79.17
Ss Medicare,Madhuravada,Andhra Pradesh,Diagnostic center,210.99
Sri Chandras Cake N Cream,Madhuravada,Andhra Pradesh,Bakery,176.5
Dr. Gopi Chand Dadithota | Consult With Best Dermatology Doctor Near Me | Leprosy | Psoriasis | Vitiligo | 20+ Yrs. Of Exp.,Madhuravada,Andhra Pradesh,Hospital,1119.87
Vedanta Women & Children,Madhuravada,Andhra Pradesh,Clothing store,80.65
Kerala Ayurvedic Panchakarma Center,Madhuravada,Andhra Pradesh,Alternative medicine practitioner,127.68
Dr. Tummidi Veera Venkata Vinay Kumar,3.0,4.0,IN,234.24
Kommadi Junction Bus Stop,Madhuravada,Andhra Pradesh,Bus depot,198.86
Maitreya Homeo Clinic,Madhuravada,Andhra Pradesh,Hospital,1639.99
Smiles Super Speciality Dental Clinic,Madhuravada,Andhra Pradesh,Hospital,805.34
Ashwin Septic Tank Cleaning Services - Pipe Jam & Drainage Cleaning In Vizag,Madhuravada,Andhra Pradesh,Septic system service,178.29
Sri Visakha Medicals,Madhuravada,Andhra Pradesh,Medical Center,467.45
Ramu Septic Tank Cleaning Services/Sump Cleaning/Pipe Jam Cleaning & Underground Cleaning/Best Price Drainage Cleaners Vizag,Madhuravada,Andhra Pradesh,Septic system service,148.29
Fabhotel The Sunrise Inn,Madhuravada,Andhra Pradesh,Hotel,218.53
Sai Lalitha Constructions- Madhurawada,Madhuravada,Andhra Pradesh,Construction company,62.79
Sri Vikas Junior College,"Visakhapatnam, Madhuravada",Andhra Pradesh,Junior college,292.75
Tiles Mart,Madhuravada,Andhra Pradesh,Tile store,194.4
Aalana Medical $ General Stores,Madhuravada,Andhra Pradesh,Hospital,858.95
The Future Minds School,Madhuravada,Andhra Pradesh,Educational institution,72.76
Highway Drive In,Madhuravada,Andhra Pradesh,Restaurant,178.73
Dr. Naga Sudha Lakshmi,"trumedi health care #8-4/1/1r, first floor rcc building, bakkanapalem rd",Madhuravada,Obstetrician-gynecologist,91.79
Sai Blue Petal,Madhuravada,Andhra Pradesh,Apartment building,55.17
Mvv Gv The Grand,Madhuravada,Andhra Pradesh,Gated community,297.91
Department Of Ayush,"7/66, national hwy 5, main rd, near sri ram chits",Madhuravada,Government office,276.49
Rjd Office Visakhapatnam,Madhuravada,Andhra Pradesh,School center,154.59
Madhurawada,Visakhapatnam,Andhra Pradesh,Hospital,676.2
Saraswathi Bhavan Narayana,Madhuravada,Andhra Pradesh,College,254.68
Sai Sahithi Eye Clinic & Opticals,Madhuravada,Andhra Pradesh,Optometrist,164.56
Hari Digitals,Madhuravada,Andhra Pradesh,Digital printer,223.48
Sivasakthi Nagar,Visakhapatnam,Andhra Pradesh,Hospital,1263.31
Medisetty House,Madhuravada,Andhra Pradesh,Apartment building,103.82
Narayana Co-School (Day Campus) - Kommadi,Madhuravada,Andhra Pradesh,Educational institution,255.38
Green Sense Landscaping,Madhuravada,Andhra Pradesh,Landscaper,294.67
The Nest Apartment (Abc Construction),Madhuravada,Andhra Pradesh,Apartment building,95.81
Meghana Medicals & General,Madhuravada,Andhra Pradesh,Pharmacy,48.59
Apollo Pharmacy Nagarampalem,Madhuravada,Andhra Pradesh,Pharmacy,36.85
Dvr Classic,Madhuravada,Andhra Pradesh,Apartment building,278.9
Corpware Technologies | Best Digital Marketing Agency In Vizag | Best Social Media Marketing Agency In Madhurawada,Madhuravada,Andhra Pradesh,Software company,167.23
Sri Sampath Vinayak Pooja Samagri Shop,Madhuravada,Andhra Pradesh,General store,267.42
Nisha Fashion Designing,Madhuravada,Andhra Pradesh,Boutique,263.29
Carpenters Colony,Madhuravada,Andhra Pradesh,Hospital,914.37
Siva Sakthi Hostel For Boys,Madhuravada,Andhra Pradesh,Boys' hostel,243.3
Msr Layout,Madhuravada,Andhra Pradesh,Housing society,142.03
Sbc Cellpoint,"Visakhapatnam, Madhuravada",Andhra Pradesh,Mobile phone repair shop,282.25
Blush&Blade Unisex Salon,Madhuravada,Andhra Pradesh,Beauty salon,167.09
Harish Electrical & Hardware,Madhuravada,Andhra Pradesh,Hardware store,251.55
Mk Dance Studio,Madhuravada,Andhra Pradesh,Dance school,106.37
Siddu@,Madhuravada,Andhra Pradesh,Apartment building,110.61
Emversity Campus,"d. no, 6-98/b nh16, 4th floor, 6-98/b, nh16, above max fashion",Madhuravada,+91 73531 48800,188.47
Hanuman Shoemart | 20+ Year'S Experienced,"Visakhapatnam, Madhuravada",Andhra Pradesh,Shoe store,299.7
Ucmas-Abacus Madhurawada,Madhuravada,Andhra Pradesh,Education center,162.2
Marikavalsa,Kapuluppada,Andhra Pradesh,College,70.12
Sri Durga Sai Krupa Medical& General Stores,Madhuravada,Andhra Pradesh,Medical Center,292.36
Thanu Shri Fancy Bangles Jewellery & Beauty Parlour,Madhuravada,Andhra Pradesh,Bangle Shop,123.18
Cnc Works Wood World Designers Unit2 ,5.0,2.0,IN,179.02
Eleven Ways Digital Marketing,Madhuravada,Andhra Pradesh,Marketing agency,176.73
Port Colony,Madhuravada,Andhra Pradesh,Hospital,1183.02
Sri Kanaka Durga General Stores And Oil Mill,Madhuravada,Andhra Pradesh,Store,116.88
M/S. Gayatri Vidya Parishad Institute Of Health Care And Medical Technology.Blood Bank.,Kapuluppada,Andhra Pradesh,Blood donation center,80.94
Mahesh Poly Clinic,Madhuravada,Andhra Pradesh,Hospital,1546.25
Shree Satya Ivf Clinic,Madhuravada,Andhra Pradesh,Medical clinic,127.21
Medical,Madhuravada,Andhra Pradesh,Medical Center,155.1
Visakha Multispeciality Clinics,Madhuravada,Andhra Pradesh,Medical clinic,161.84
Susarla Hospital,"chillkuri green lands, bus stop, plot no 14, borvanipalem,, national highway 16, near hanuman temple","Pardesipalem, Pataparadesipalem",Hospital,565.47
Padmavathi School Of Nursing,"Bakkanapalem, Visakhapatnam",Andhra Pradesh,Nursing school,231.07
Vapms College Of Physiotherapy,Bakkanapalem,Andhra Pradesh,College,220.41
The Excotica Resort Vizag (Pool,47.0,"d.no:12-7, plot no. 431, hospital road",+91 90592 28901,249.08
Welfare Association Of Harita Gardens,Madhuravada,Andhra Pradesh,Gated community,134.24
Marikavalasa Village,Kapuluppada,Andhra Pradesh,Store,209.2
Neo Vision Eye & Skin Speciality Hospital,539.0,"plot no.776, main rd",https://neovisionandskin.com/,251.6
Vbr Pharmacy Clinics & Diagnostics,Madhuravada,Andhra Pradesh,Hospital,1971.23
Dr. Balakrishna, vizag,4.9,Andhra Pradesh,163.74
Dr. Suhasini, vizag,4.9,Andhra Pradesh,40.0
Epyx Derma ? Best Dermatologist For Skin & Hair | Dr. Suhasini,Madhuravada,Andhra Pradesh,Dermatologist,57.69
Dr.Sneha'S Skinclin | Best Skin,141.0,"hig-775 4th floor, r square",https://www.drsnehasskinclin.in/,189.35
Urban Primary Health Centre,Madhuravada,Andhra Pradesh,Child health care center,264.82
Iconic Dental Hospital - Skilled Dentists | State-Of-The-Art Dental Clinic,Madhuravada,Andhra Pradesh,Dental clinic,133.64
Unoclonix,Madhuravada,Andhra Pradesh,Hospital,1160.46
Girija Homeopathy,Madhuravada,Andhra Pradesh,Hospital,1288.93
Echs Polyclinic 2 Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,1185.39
Keraliya Vidya,Gajuwaka,Andhra Pradesh,Ayurvedic clinic,61.96
Dr. Gopi Annapantula- Orthopedist In Visakhapatnam,Pullambotlapalem,Andhra Pradesh,Orthopedic clinic,140.69
Dr. Dakshinamurty- Otolaryngologists In Vishakhapatnam,Gajuwaka,Andhra Pradesh,Otolaryngologist,206.79
Dr. L V Syamala Rao- Ent In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Otolaryngologist,71.68
Saisubramanyam,Gajuwaka,Andhra Pradesh,Private hospital,2877.96
Dr.Y.Sravanthi - Pysician & Diabetologist,Gajuwaka,Andhra Pradesh,Hospital,1953.81
Dr.Feroz Zahir - E.N.T,Gajuwaka,Andhra Pradesh,Hospital,1007.84
Sri Krishna Physiotherapy Center,Gajuwaka,Andhra Pradesh,Hospital,1539.06
???? ???????? ?????????????? ????????,Gajuwaka,Andhra Pradesh,Hospital,1474.75
Suham Hospital,"Gollalapalem, Visakhapatnam",Andhra Pradesh,Hospital,1777.65
Piles Clinic,Visakhapatnam,Andhra Pradesh,Medical Center,433.55
Coromandel Medical Center,Visakhapatnam,Andhra Pradesh,Business related,262.02
Panchavathi Hospitals Private Limited,Visakhapatnam,Andhra Pradesh,Hospital,1070.01
Vishal Mega Mart,Gajuwaka,Andhra Pradesh,Hypermarket,115.5
Mahindra Neon Motors Pvt Ltd - Suv Showroom,Gajuwaka,Andhra Pradesh,Car dealer,224.05
The Secret Kitchen,"Visakhapatnam, Gajuwaka",Andhra Pradesh,Restaurant,235.04
Dr. Rakesh'S Heart Care Clinic,Gajuwaka,Andhra Pradesh,Cardiologist,178.31
Life Happy Homes,Gajuwaka,Andhra Pradesh,Corporate office,39.69
Spinco Biotech Pvt Ltd,Gajuwaka,Andhra Pradesh,Scientific equipment supplier,48.47
Visakha Dairy Outlet,Gajuwaka,Andhra Pradesh,Dairy,200.41
Masiha Homeo Clinic,Gajuwaka,Andhra Pradesh,Medical clinic,186.56
Hair And Care,Gajuwaka,Andhra Pradesh,Beauty salon,299.3
Shree Jagannath Group,Gajuwaka,Andhra Pradesh,Logistics service,231.63
M K Grand Apartments,Gajuwaka,Andhra Pradesh,Apartment building,147.17
Stbl Sita Rama Gardens,Kotta Narava,Andhra Pradesh,Housing society,56.58
Sl Grand Apartment,Gajuwaka,Andhra Pradesh,Apartment building,201.11
Ssm.Raju,Gajuwaka,Andhra Pradesh,Apartment building,265.6
Visakha Dairy,Gajuwaka,Andhra Pradesh,Dairy store,149.79
U Fit,Gajuwaka,Andhra Pradesh,Gym,217.38
Chaithanya Electrical & Rewinding Works,Gajuwaka,Andhra Pradesh,Hospital,1855.14
Sukriti Apartments,Gajuwaka,Andhra Pradesh,Apartment building,42.42
Ss Eletricals,Gajuwaka,Andhra Pradesh,Electrical installation service,244.96
Icici Bank,Gajuwaka,Andhra Pradesh,Bank,109.21
Manisha College Of Nursing,Gajuwaka,Andhra Pradesh,Nursing school,131.21
Crown Bakery,Gajuwaka,Andhra Pradesh,Bakery,69.3
Anand Vihar,Gajuwaka,Andhra Pradesh,Apartment building,173.41
Pinakin Elevators,Gajuwaka,Andhra Pradesh,Elevator manufacturer,182.8
Yumm! Restaurant,Gajuwaka,Andhra Pradesh,Restaurant,243.98
Rameswaram Foods,Gajuwaka,Andhra Pradesh,Restaurant,75.9
??????? ?????????????,Gajuwaka,Andhra Pradesh,Hospital,618.45
Sehitha Tours And Travels,Gajuwaka,Andhra Pradesh,Travel agency,265.13
Tsr Hospital And Diagnostics,Visakhapatnam,Andhra Pradesh,Hospital,1429.57
Gowtham Heart And General Hospital,Visakhapatnam,Andhra Pradesh,Hospital,861.24
Sandhya Children'S Clinic,Visakhapatnam,Andhra Pradesh,Child health care center,276.46
Medicine N Intensive Care,Visakhapatnam,Andhra Pradesh,Hospital department,68.64
Tirumala Rao Clinic,Visakhapatnam,Andhra Pradesh,Skin care clinic,42.28
Vizag Music Studios,Gajuwaka,Andhra Pradesh,Recording studio,98.57
Sheela Nagar,Visakhapatnam,Andhra Pradesh,Hospital,882.99
Kgn Shan Biryani,"Visakhapatnam, Gajuwaka",Andhra Pradesh,Biryani restaurant,32.54
Sea Lion Offshore Diving Pvt. Ltd,Gajuwaka,Andhra Pradesh,Dive club,247.25
Hitach Atm,Gajuwaka,Andhra Pradesh,ATM,273.33
Alphabets Play School,Gajuwaka,Andhra Pradesh,Kindergarten,212.95
Renu'S Dairy Parlour,Gajuwaka,Andhra Pradesh,Hospital,736.96
Mytvs Car Garage | Sheela Nagar,Gajuwaka,Andhra Pradesh,Auto repair shop,149.27
Shawarma Smoked Bbq,Gajuwaka,Andhra Pradesh,Barbecue restaurant,123.3
Tea Tree,Gajuwaka,Andhra Pradesh,Cafe,188.64
Manisa Nursing College,Gajuwaka,Andhra Pradesh,Hospital,1458.41
Varma Hispitals,Visakhapatnam,Andhra Pradesh,Hospital,1136.46
Sri Lakshmi Childrens Hospital,Visakhapatnam,Andhra Pradesh,Hospital,875.15
Prathima Nursing Home,Visakhapatnam,Andhra Pradesh,Hospital,1767.96
Dr Bhagya'S Dental Care,Visakhapatnam,Andhra Pradesh,Hospital,798.83
Aruni Dental Care,Visakhapatnam,Andhra Pradesh,Hospital,1077.04
Bharathi Super Specialty Dental Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1224.81
Mukhyamantri Aarogya Kendram - Sriharipuram,Visakhapatnam,Andhra Pradesh,Hospital,855.81
Beside Sho,Visakhapatnam,Andhra Pradesh,Medical Center,307.37
Nehru Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1362.22
Satya Durga Clinic (Dr. Y. Samatha M.S. (Obg),m6qq+q6r,Visakhapatnam,Hospital,1989.04
Surgeon Captain (Col) Dr Sambhu Dutta Medical Centre,5.0,12.0,IN,109.71
Ss Skin And Hair Clinic,Visakhapatnam,Andhra Pradesh,Doctor,98.02
Sai Surya Super Speciality Dental And Cosmetic Laser Center,Visakhapatnam,Andhra Pradesh,Dental clinic,105.57
Esi Dispensary Malkapuram,Visakhapatnam,Andhra Pradesh,Medical clinic,76.66
Vr Nature Cure Clinic,Visakhapatnam,Andhra Pradesh,Health counselor,182.8
Medical Shop,Visakhapatnam,Andhra Pradesh,Medical Center,358.61
Bhanu Medicals,Visakhapatnam,Andhra Pradesh,Hospital department,231.06
True Care Pharmacy ( Generic Medical Store),Visakhapatnam,Andhra Pradesh,Medical Center,72.07
Ampere Electric Scooter - Gajuwaka - Visakhapatnam,Visakhapatnam,Andhra Pradesh,Electric vehicle charging station,193.73
Siri Dental Clinic,"Vishakapatanam, Visakhapatnam",Andhra Pradesh,Dental clinic,84.57
Apollo 24||7 Doctor Tele-Consult Near Me || Gajuwaka 3 (Himachal Nagar) || Visakhapatnam,Visakhapatnam,Andhra Pradesh,General practitioner,73.29
St. Ann'S School Of Nursing,Visakhapatnam,Andhra Pradesh,Nursing school,107.27
Vizag Ayurvedic Clinic,Visakhapatnam,Andhra Pradesh,Alternative medicine practitioner,245.69
Prasanthi Dental Clinic,Visakhapatnam,Andhra Pradesh,Dental clinic,98.92
Care And Cure Physiotherapy And Sports Injury Clinic,Visakhapatnam,Andhra Pradesh,Physical therapy clinic,48.19
Lg Tirupati Service Center (Lg Owned Center),"Tirupati, Visakhapatnam",Andhra Pradesh,Appliance repair service,201.89
Sonalika - M/S Aadhya Agri And Aquaculture Pvt Ltd,Visakhapatnam,Andhra Pradesh,Tractor dealer,197.64
Meeseva Center,"m6pp+37r, stanns hospital road, beside bhasyam public school",Visakhapatnam,State government office,213.0
Coromandel Colony,Visakhapatnam,Andhra Pradesh,Hospital,1581.39
Sbm Toilet,Visakhapatnam,Andhra Pradesh,Public bathroom,207.98
V&H Aluminium And Glass Works,Visakhapatnam,Andhra Pradesh,Aluminum welder,256.35
Sree Sai Surya Medical & General Stores,Visakhapatnam,Andhra Pradesh,Pharmacy,53.98
Sbi Atm,Visakhapatnam,Andhra Pradesh,ATM,273.92
Sbi Atm,Visakhapatnam,Andhra Pradesh,ATM,204.51
Dr Trimolarav,Visakhapatnam,Andhra Pradesh,Hospital,963.4
Royal Care Diagnostic Centre Gullapalem,Visakhapatnam,Andhra Pradesh,Medical Center,248.37
Radha Krishna Nurshing Home,Visakhapatnam,Andhra Pradesh,Hospital,1369.36
Sri Lakshmi Narasimha Medical,Visakhapatnam,Andhra Pradesh,Medical Center,379.56
Mukhyamantri Arogya Kendram,"m6pw+r29, market rd",Visakhapatnam,Hospital,635.2
St Anne'S Emergency Ward,Visakhapatnam,Andhra Pradesh,Hospital,942.67
Pediatric/Children Clinic,Visakhapatnam,Andhra Pradesh,Hospital,1621.22
Scindia Colony Hospital,Visakhapatnam,Andhra Pradesh,Hospital,763.46
Amulya Children And Multi-Speciality Hospital,Gajuwaka,Andhra Pradesh,Hospital,698.24
Muddu Krishna Children Hospital,Gajuwaka,Andhra Pradesh,Children's hospital,1624.87
Pujitha Hospital,Gajuwaka,Andhra Pradesh,Hospital,1957.23
Chandamama Children Hospital,Gajuwaka,Andhra Pradesh,Hospital,1296.28
Ssv Medicals 24 Hours Service,Gajuwaka,Andhra Pradesh,Medical Center,461.07
Modern Health Care (Dr.Satish Kumar),Gajuwaka,Andhra Pradesh,Hospital,1745.71
Pulse Diagnostics,Gajuwaka,Andhra Pradesh,Medical diagnostic imaging center,99.38
Primary Health Care Center,Gajuwaka,Andhra Pradesh,Medical Center,421.11
Dhanvarsshini Clinic,Gajuwaka,Andhra Pradesh,Hospital,1222.77
M Cure Clinic,Gajuwaka,Andhra Pradesh,Gastrointestinal surgeon,247.75
Healthassure - Bharathi Hospital | Imaging And Diagnostics - Ct Scans | X-Ray | Blood Test | Ultrasound In Visakhapatnam,Gajuwaka,Andhra Pradesh,Diagnostic center,234.11
Life Care Medical Diagnostic Centre,Gajuwaka,Andhra Pradesh,Diagnostic center,128.07
Sai Bindu | Best Dental | Clinic In Vizag,Gajuwaka,Andhra Pradesh,Dental clinic,34.97
Sri Sai Sampath Lab,Gajuwaka,Andhra Pradesh,Hospital,1944.34
Zym Weight Loss Fitness Centrr,Gajuwaka,Andhra Pradesh,Wellness center,68.0
Shyam Ortho Care,Gajuwaka,Andhra Pradesh,Doctor,96.99
Sri Sai Sanjeevini Health Care,Gajuwaka,Andhra Pradesh,Hospital,1790.21
Abhaya Heart & Multi Speciality Care,Gajuwaka,Andhra Pradesh,Cardiologist,153.12
Navishka Dental Care,Gajuwaka,Andhra Pradesh,Dental clinic,147.39
Health Plus Pharmacy - Generic Medical Store,Gajuwaka,Andhra Pradesh,Pharmacy,77.71
Gayathri Dental Care,Gajuwaka,Andhra Pradesh,Dental clinic,124.6
Sri Matha Wellness Center,Gajuwaka,Andhra Pradesh,Weight loss service,128.76
B.S Scientific Industry,Gajuwaka,Andhra Pradesh,Hospital equipment and supplies,243.48
Metal,Gajuwaka,Andhra Pradesh,Hotel,33.76
Apollo Pharmacy Gullalapalem,Gajuwaka,Andhra Pradesh,Pharmacy,47.56
Sri Venkateswara Jinning Works,Gajuwaka,Andhra Pradesh,Mattress store,152.79
Suman Karate School- Real Champions Academy,Gajuwaka,Andhra Pradesh,Karate school,211.66
?????????? ???????????,"New Gajuwaka, Gajuwaka",Vsp,Hospital,1508.51
Gajuwaka,m6j8+g7r,"Visakhapatnam, Gajuwaka",Gift shop,187.83
Piramal Finance Limited,Gajuwaka,Andhra Pradesh,Loan agency,252.05
Sanath Nagar,"bangalore bakery, near harini hospital road",Gajuwaka,Restaurant,283.88
Cannystay G V Inn,Gajuwaka,Andhra Pradesh,Hotel,59.25
Brucelee Raj Olympic Martialarts Academy,Gajuwaka,Andhra Pradesh,Karate school,93.13
Sbi Agri Commercial Branch Aganampudi,"Visakhapatanam, Gajuwaka",Andhra Pradesh,Bank,36.76
Arogya Bowl,Gajuwaka,Andhra Pradesh,Health food store,268.74
Brother Tailors Ladies & Gents,Gajuwaka,Andhra Pradesh,Hospital,1342.11
Sfs School,Gajuwaka,Andhra Pradesh,Middle school,277.12
Sanath Nagar,Gajuwaka,Andhra Pradesh,Hospital,832.05
Seetharam Nagar,Gajuwaka,Andhra Pradesh,Hospital,594.83
Siri Beauty Parlour,Gajuwaka,Andhra Pradesh,Beauty salon,252.44
Naveen Tours & Travels,Gajuwaka,Andhra Pradesh,Bus tour agency,275.53
Kailash Nagar,Gajuwaka,Andhra Pradesh,Hospital,953.29
Apollo Pharmacy Bc Road Gajuwaka,Gajuwaka,Andhra Pradesh,Pharmacy,38.58
Medi Care Hospital,Gajuwaka,Andhra Pradesh,Hospital,709.67
E S I Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1919.39
Gandhigram,Visakhapatnam,Andhra Pradesh,Hospital,956.55
Bhpv Hospital,Gajuwaka,Andhra Pradesh,Hospital,1238.94
Bhel Hospital,Gajuwaka,Andhra Pradesh,Hospital,645.79
Dr. Vamsi Sparc Hearing Center Llp,"Visakhapatnam, Gajuwaka",Andhra Pradesh,Hospital,1830.89
Dr Saikishore Arigela(Urologist,4.0,kims icon hospital,https://www.kimshospitals.com/doctor-profile/dr-sai-kishore-arigela/,66.63
Dr Chanakya Sai Dumpala,Gajuwaka,Andhra Pradesh,Hospital,1180.47
A1 Life Care First Aid Centre,Gajuwaka,Andhra Pradesh,Hospital,1505.73
Dr. Dharmala Nitesh Reddy - Best Plastic Surgeon In Vizag,Gajuwaka,Andhra Pradesh,Plastic surgeon,230.65
Simhadri Dental Clinic,Gajuwaka,Andhra Pradesh,Dental clinic,142.98
Greenbird Air And Train Ambulance Services Pvt. Ltd.,Gajuwaka,Andhra Pradesh,Air ambulance service,143.16
College Of Life Sciences Nursing,Gajuwaka,Andhra Pradesh,College,230.41
Sri Sai Physiotherapy Clinic Branch,Gajuwaka,Andhra Pradesh,Medical clinic,56.27
Drr Enclave,"Visakhapatnam, Gajuwaka",Andhra Pradesh,Corporate office,142.02
Bharat Heavy Electricals Limited (Bhel) Shopping Complex,Gajuwaka,Andhra Pradesh,Shopping mall,56.74
Samsidh International School(Bhpv),Gajuwaka,Andhra Pradesh,General education school,162.12
Siva Shakti Enterprises,Gajuwaka,Andhra Pradesh,Battery store,140.19
Suvarna Srinivasam,Gajuwaka,Andhra Pradesh,Housing development,286.91
Indian Dhaba Family Restaurant,"Visakhapatnam, Gopalapatnam (rural)",Andhra Pradesh,Indian restaurant,38.83
Kk Building Solutions And Services,Gajuwaka,Andhra Pradesh,Waterproofing service,130.04
Lotusfeet Engineering Works,Gajuwaka,Andhra Pradesh,Corporate office,149.71
Ashoka Eye Clinic & Opticals,Gajuwaka,Andhra Pradesh,Eye care,286.65
Suraksha Health Park,Visakhapatnam,Andhra Pradesh,Hospital,1783.18
Dr.T.Sai Babu,Vepagunta,Andhra Pradesh,Hospital,649.03
Dr Saraswathi A V,Vepagunta,Andhra Pradesh,Otolaryngologist,215.13
Sri Venkateswara Praja Pradhamika Vydhyashala,Adavivaram,Andhra Pradesh,Hospital,1316.7
Free Medical Camp,Adavivaram,Andhra Pradesh,Free clinic,294.02
Rhc Dormitory,Adavivaram,Andhra Pradesh,Hospital,1038.01
Heritage Kerala Ayurveda Centre For Panchakarma & Ayurvedic Rehabilitation,Vepagunta,Andhra Pradesh,Hospital,1097.21
Kanaka Durga Homeo Store,Vepagunta,Andhra Pradesh,Hospital,784.71
Sp.Sudarsana Ramanujam,Adavivaram,Andhra Pradesh,Housing authority,62.98
Simhachalam Rtc Bus Station,"Visakhapatnam, Adavivaram",Andhra Pradesh,Bus station,258.97
Kiran Sonics,Vepagunta,Andhra Pradesh,Optical wholesaler,152.77
Sri Sri Sri Kodanda Ramalayam Temple,Vepagunta,Andhra Pradesh,Hindu temple,208.95
Visakha Pharmacy,Vepagunta,Andhra Pradesh,Medical clinic,139.09
Crazy Wheelz - Self Drive Car Rentals,Vepagunta,Andhra Pradesh,Car rental agency,191.23
Sanjivani Hospital,Visakhapatnam,Andhra Pradesh,Hospital,532.04
Dr Demudu Babu Kamala Nursing Home,Visakhapatnam,Andhra Pradesh,Hospital,1680.19
Sri Srinivasa Medical Centre,Visakhapatnam,Andhra Pradesh,Medical Center,159.61
Devudu Babu Hospital,Visakhapatnam,Andhra Pradesh,Hospital,688.89
Sunrise Children'S Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1346.87
Sunrise Hospitals,Visakhapatnam,Andhra Pradesh,Hospital,602.92
Aadhi Clinic,Visakhapatnam,Andhra Pradesh,Medical clinic,160.08
N.A.D. Dental Clinic,Visakhapatnam,Andhra Pradesh,Dental clinic,46.93
Aabhi Hospital,Visakhapatnam,Andhra Pradesh,Hospital,823.93
Suraksha Diagnostics,Visakhapatnam,Andhra Pradesh,Diagnostic center,266.12
Suneetha Nursing Home,Visakhapatnam,Andhra Pradesh,Hospital,992.84
Saroja Madhu Homeo Hospital & Medicals,Visakhapatnam,Andhra Pradesh,Medical clinic,55.08
Sarvamitra Health Care,Visakhapatnam,Andhra Pradesh,Medical Center,455.24
Visakha Institute Of Allergy & Skin Disease,Visakhapatnam,Andhra Pradesh,Hospital,504.25
Powerise Physiotherapy And Rehabilitation Centre,Visakhapatnam,Andhra Pradesh,Hospital,1787.61
Heath Plus Pharmacy Generic,Visakhapatnam,Andhra Pradesh,Medical Center,115.11
Sun Homeocare Clinic,Visakhapatnam,Andhra Pradesh,Homeopath,9.55
Amrutham Ayurveda Bazaar,"p6rw+58w, beside saibaba temple, opposite airport quarters",Visakhapatnam,+91 94907 64978,97.68
Ent Head & Neck Centre,"dr. demudu babu, kamala nursing home, marripalem main rd",Visakhapatnam,+91 97031 58536,77.11
Care 32 Dental Clinic,Visakhapatnam,Andhra Pradesh,Hospital,1491.59
Homeopathic Clinics,Visakhapatnam,Andhra Pradesh,Hospital,538.67
Healthassure - Aadhi Hospital | Imaging And Diagnostics - Ct Scans | X-Ray | Blood Test | Ultrasound In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Diagnostic center,43.86
Dr Sesha Rao D V,Visakhapatnam,Andhra Pradesh,Doctor,81.1
Kamala Nursing Home,Visakhapatnam,Andhra Pradesh,Nursing home,218.97
Dr.K. Jayamahesh M.S.(Opthal),Visakhapatnam,Andhra Pradesh,Ophthalmologist,62.09
I Trust Diagnostics,Visakhapatnam,Andhra Pradesh,Medical Center,128.41
Pinnacle Blooms® - Nad | Autism Therapy | Speech Therapy | Occupational Therapy | Aba Therapy | Child Development Center,Visakhapatnam,Andhra Pradesh,Speech pathologist,44.15
Badam`S Poly Clinic,Visakhapatnam,Andhra Pradesh,Hospital,1612.58
Venkata Sai Medical & General Store,Visakhapatnam,Andhra Pradesh,Medical Center,286.74
R K Medicals,Visakhapatnam,Andhra Pradesh,Medical Center,385.55
