trip_id,source_area,park_name,park_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
TRP00628,Siripuram,Madhurawada Children Park,Madhurawada,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Madhurawada Junction, DLF Cybercity, Infosys Campus",Travel from Siripuram to Madhurawada Children Park in Madhurawada. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00629,Siripuram,Madhurawada Hill Park,Madhurawada,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Madhurawada Junction, DLF Cybercity, Infosys Campus",Travel from Siripuram to Madhurawada Hill Park in Madhurawada. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00630,Siripuram,Madhurawada Sunrise Garden,Madhurawada,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Madhurawada Junction, DLF Cybercity, Infosys Campus",Travel from Siripuram to Madhurawada Sunrise Garden in Madhurawada. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00631,Siripuram,Madhurawada Urban Park,Madhurawada,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Madhurawada Junction, DLF Cybercity, Infosys Campus",Travel from Siripuram to Madhurawada Urban Park in Madhurawada. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00632,Siripuram,PM Palem Eco Valley,PM Palem,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","PM Palem Bus Stop, Kommadi Junction, Madhurawada Road",Travel from Siripuram to PM Palem Eco Valley in PM Palem. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00633,Siripuram,PM Palem Green Valley Park,PM Palem,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","PM Palem Bus Stop, Kommadi Junction, Madhurawada Road",Travel from Siripuram to PM Palem Green Valley Park in PM Palem. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00634,Siripuram,PM Palem Heritage Park,PM Palem,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","PM Palem Bus Stop, Kommadi Junction, Madhurawada Road",Travel from Siripuram to PM Palem Heritage Park in PM Palem. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00635,Siripuram,PM Palem Lake View Park,PM Palem,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","PM Palem Bus Stop, Kommadi Junction, Madhurawada Road",Travel from Siripuram to PM Palem Lake View Park in PM Palem. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00636,Siripuram,PM Palem Nature Park,PM Palem,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","PM Palem Bus Stop, Kommadi Junction, Madhurawada Road",Travel from Siripuram to PM Palem Nature Park in PM Palem. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00637,Siripuram,PM Palem Public Park,PM Palem,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","PM Palem Bus Stop, Kommadi Junction, Madhurawada Road",Travel from Siripuram to PM Palem Public Park in PM Palem. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00638,Siripuram,Rushikonda Bay Park,Rushikonda,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Rushikonda Beach, Dolphin Hotel Hill, GITAM University",Travel from Siripuram to Rushikonda Bay Park in Rushikonda. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00639,Siripuram,Rushikonda Beach Park,Rushikonda,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Rushikonda Beach, Dolphin Hotel Hill, GITAM University",Travel from Siripuram to Rushikonda Beach Park in Rushikonda. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00640,Siripuram,Rushikonda Green Garden,Rushikonda,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Rushikonda Beach, Dolphin Hotel Hill, GITAM University",Travel from Siripuram to Rushikonda Green Garden in Rushikonda. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00641,Siripuram,Rushikonda Hill Garden,Rushikonda,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Rushikonda Beach, Dolphin Hotel Hill, GITAM University",Travel from Siripuram to Rushikonda Hill Garden in Rushikonda. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00642,Siripuram,Rushikonda Ocean Park,Rushikonda,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Rushikonda Beach, Dolphin Hotel Hill, GITAM University",Travel from Siripuram to Rushikonda Ocean Park in Rushikonda. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00643,Siripuram,Rushikonda Palm Park,Rushikonda,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Rushikonda Beach, Dolphin Hotel Hill, GITAM University",Travel from Siripuram to Rushikonda Palm Park in Rushikonda. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00644,Siripuram,Seaside Green Park,Visakhapatnam,4,12 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Visakhapatnam City Center, GVMC Office",Travel from Siripuram to Seaside Green Park in Visakhapatnam. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00645,Siripuram,Seethammadhara Botanical Garden,Seethammadhara,4,13 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Seethammadhara Junction, HDFC Bank, Big Bazaar",Travel from Siripuram to Seethammadhara Botanical Garden in Seethammadhara. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00646,Siripuram,Seethammadhara Eco Garden,Seethammadhara,2,7 mins,Rs 25,Rs 30,Rs 80,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Seethammadhara Junction, HDFC Bank, Big Bazaar",Travel from Siripuram to Seethammadhara Eco Garden in Seethammadhara. Distance approx 2 km with medium traffic. Route via major Vizag roads.
TRP00647,Siripuram,Seethammadhara Family Park,Seethammadhara,3,10 mins,Rs 35,Rs 40,Rs 95,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Seethammadhara Junction, HDFC Bank, Big Bazaar",Travel from Siripuram to Seethammadhara Family Park in Seethammadhara. Distance approx 3 km with medium traffic. Route via major Vizag roads.
TRP00648,Siripuram,Seethammadhara Lake View Park,Seethammadhara,4,13 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Seethammadhara Junction, HDFC Bank, Big Bazaar",Travel from Siripuram to Seethammadhara Lake View Park in Seethammadhara. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00649,Siripuram,Seethammadhara Sunrise Park,Seethammadhara,2,7 mins,Rs 25,Rs 30,Rs 80,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Seethammadhara Junction, HDFC Bank, Big Bazaar",Travel from Siripuram to Seethammadhara Sunrise Park in Seethammadhara. Distance approx 2 km with medium traffic. Route via major Vizag roads.
TRP00650,Siripuram,Seethammadhara Valley Garden,Seethammadhara,3,10 mins,Rs 35,Rs 40,Rs 95,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Seethammadhara Junction, HDFC Bank, Big Bazaar",Travel from Siripuram to Seethammadhara Valley Garden in Seethammadhara. Distance approx 3 km with medium traffic. Route via major Vizag roads.
TRP00651,Siripuram,Simhachalam Eco Park,Simhachalam,21,53 mins,Rs 175,Rs 260,Rs 345,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Simhachalam Temple, Simhachalam Bus Stop",Travel from Siripuram to Simhachalam Eco Park in Simhachalam. Distance approx 21 km with medium traffic. Route via major Vizag roads.
TRP00652,Siripuram,Simhachalam Green Valley,Simhachalam,19,47 mins,Rs 160,Rs 235,Rs 320,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Simhachalam Temple, Simhachalam Bus Stop",Travel from Siripuram to Simhachalam Green Valley in Simhachalam. Distance approx 19 km with medium traffic. Route via major Vizag roads.
TRP00653,Siripuram,Simhachalam Heritage Garden,Simhachalam,20,50 mins,Rs 170,Rs 245,Rs 330,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Simhachalam Temple, Simhachalam Bus Stop",Travel from Siripuram to Simhachalam Heritage Garden in Simhachalam. Distance approx 20 km with medium traffic. Route via major Vizag roads.
TRP00654,Siripuram,Simhachalam Hill Park,Simhachalam,21,53 mins,Rs 175,Rs 260,Rs 345,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Simhachalam Temple, Simhachalam Bus Stop",Travel from Siripuram to Simhachalam Hill Park in Simhachalam. Distance approx 21 km with medium traffic. Route via major Vizag roads.
TRP00655,Siripuram,Simhachalam Nature Valley,Simhachalam,19,47 mins,Rs 160,Rs 235,Rs 320,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Simhachalam Temple, Simhachalam Bus Stop",Travel from Siripuram to Simhachalam Nature Valley in Simhachalam. Distance approx 19 km with medium traffic. Route via major Vizag roads.
TRP00656,Siripuram,Simhachalam Public Park,Simhachalam,20,50 mins,Rs 170,Rs 245,Rs 330,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Simhachalam Temple, Simhachalam Bus Stop",Travel from Siripuram to Simhachalam Public Park in Simhachalam. Distance approx 20 km with medium traffic. Route via major Vizag roads.
TRP00657,Siripuram,Steel City Eco Park,Steel City,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RINL Steel Plant Gate, RSP Township, BHPV Colony",Travel from Siripuram to Steel City Eco Park in Steel City. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00658,Siripuram,Steel Plant Botanical Garden,Steel Plant,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RINL Steel Plant Gate, RSP Township, BHPV Colony",Travel from Siripuram to Steel Plant Botanical Garden in Steel Plant. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00659,Siripuram,Steel Plant Green Park,Steel Plant,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RINL Steel Plant Gate, RSP Township, BHPV Colony",Travel from Siripuram to Steel Plant Green Park in Steel Plant. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00660,Siripuram,Steel Plant Lake View Park,Steel Plant,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RINL Steel Plant Gate, RSP Township, BHPV Colony",Travel from Siripuram to Steel Plant Lake View Park in Steel Plant. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00661,Siripuram,Yendada Eco Valley,Yendada,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Yendada Junction, Sheelanagar, Mangamaripeta",Travel from Siripuram to Yendada Eco Valley in Yendada. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00662,Siripuram,Yendada Hill View Park,Yendada,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Yendada Junction, Sheelanagar, Mangamaripeta",Travel from Siripuram to Yendada Hill View Park in Yendada. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00663,Siripuram,Yendada Nature Garden,Yendada,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Yendada Junction, Sheelanagar, Mangamaripeta",Travel from Siripuram to Yendada Nature Garden in Yendada. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00664,Siripuram,Yendada Public Garden,Yendada,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Yendada Junction, Sheelanagar, Mangamaripeta",Travel from Siripuram to Yendada Public Garden in Yendada. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00665,Siripuram,Yendada Sunrise Park,Yendada,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Yendada Junction, Sheelanagar, Mangamaripeta",Travel from Siripuram to Yendada Sunrise Park in Yendada. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00666,Siripuram,Yendada Valley Park,Yendada,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Yendada Junction, Sheelanagar, Mangamaripeta",Travel from Siripuram to Yendada Valley Park in Yendada. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00667,Dwaraka Nagar,All Abilities Park,Beach Road,4,9 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to All Abilities Park in Beach Road. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00668,Dwaraka Nagar,Biodiversity Park Botanical Garden,Pedda Waltair,4,10 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Pedda Waltair, AU Campus, Bheemunipatnam Road",Travel from Dwaraka Nagar to Biodiversity Park Botanical Garden in Pedda Waltair. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00669,Dwaraka Nagar,Children Traffic Park,MVP Colony,5,13 mins,Rs 50,Rs 65,Rs 120,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Dwaraka Nagar to Children Traffic Park in MVP Colony. Distance approx 5 km with medium traffic. Route via major Vizag roads.
TRP00670,Dwaraka Nagar,Dragon Park,Chinna Waltair,4,9 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Chinna Waltair Road, Visakha Museum, AU Hill",Travel from Dwaraka Nagar to Dragon Park in Chinna Waltair. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00671,Dwaraka Nagar,Gokul Park,Beach Road,5,12 mins,Rs 50,Rs 65,Rs 120,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Gokul Park in Beach Road. Distance approx 5 km with medium traffic. Route via major Vizag roads.
TRP00672,Dwaraka Nagar,Indira Gandhi Children Park,Maharani Peta,6,15 mins,Rs 55,Rs 80,Rs 135,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Maharani Peta, Town Hall, Post Office Road",Travel from Dwaraka Nagar to Indira Gandhi Children Park in Maharani Peta. Distance approx 6 km with medium traffic. Route via major Vizag roads.
TRP00673,Dwaraka Nagar,Indira Gandhi Zoological Park,NH16 Road,12,29 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Indira Gandhi Zoo, Kambalakonda, NH16",Travel from Dwaraka Nagar to Indira Gandhi Zoological Park in NH16 Road. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00674,Dwaraka Nagar,Kambalakonda Eco Tourism Park,Kambalakonda,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Kambalakonda Reserve Forest, Indira Gandhi Zoo, NH16",Travel from Dwaraka Nagar to Kambalakonda Eco Tourism Park in Kambalakonda. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00675,Dwaraka Nagar,Lumbini Park,Beach Road,6,15 mins,Rs 55,Rs 80,Rs 135,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Lumbini Park in Beach Road. Distance approx 6 km with medium traffic. Route via major Vizag roads.
TRP00676,Dwaraka Nagar,Mudasarlova Park,Hanumanthavaka,6,17 mins,Rs 55,Rs 80,Rs 135,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Mudasarlova Reservoir, Hanumanthuwaka Junction",Travel from Dwaraka Nagar to Mudasarlova Park in Hanumanthavaka. Distance approx 6 km with medium traffic. Route via major Vizag roads.
TRP00677,Dwaraka Nagar,Radha Krishna Beach Park,RK Beach,5,12 mins,Rs 50,Rs 65,Rs 120,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Radha Krishna Beach Park in RK Beach. Distance approx 5 km with medium traffic. Route via major Vizag roads.
TRP00678,Dwaraka Nagar,Sagar Nagar View Point Park,Sagar Nagar,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Sagar Nagar Beach, Vizag Lighthouse, RK Beach",Travel from Dwaraka Nagar to Sagar Nagar View Point Park in Sagar Nagar. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00679,Dwaraka Nagar,Saraswathi Park,Daba Gardens,4,9 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Daba Gardens, Gnanapuram, Town Hall",Travel from Dwaraka Nagar to Saraswathi Park in Daba Gardens. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00680,Dwaraka Nagar,Shivaji Park,MVP Colony,4,10 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Dwaraka Nagar to Shivaji Park in MVP Colony. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00681,Dwaraka Nagar,Tenneti Park,Beach Road,6,15 mins,Rs 55,Rs 80,Rs 135,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Tenneti Park in Beach Road. Distance approx 6 km with medium traffic. Route via major Vizag roads.
TRP00682,Dwaraka Nagar,VMRDA Kailasagiri,Kailasagiri,6,17 mins,Rs 55,Rs 80,Rs 135,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Kailasagiri Ropeway, Shiva-Parvati Statue, Sea View Point",Travel from Dwaraka Nagar to VMRDA Kailasagiri in Kailasagiri. Distance approx 6 km with medium traffic. Route via major Vizag roads.
TRP00683,Dwaraka Nagar,VMRDA Park (VUDA Park),Beach Road,5,12 mins,Rs 50,Rs 65,Rs 120,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to VMRDA Park (VUDA Park) in Beach Road. Distance approx 5 km with medium traffic. Route via major Vizag roads.
TRP00684,Dwaraka Nagar,YSR Central Park,Dwaraka Nagar,5,13 mins,Rs 50,Rs 65,Rs 120,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Dwaraka Nagar Circle, Central Park, RTC Complex",Travel from Dwaraka Nagar to YSR Central Park in Dwaraka Nagar. Distance approx 5 km with medium traffic. Route via major Vizag roads.
TRP00685,Dwaraka Nagar,Zen Park,CBM Compound / Ram Nagar,4,9 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","CBM Compound, Ram Nagar, Gitam College",Travel from Dwaraka Nagar to Zen Park in CBM Compound / Ram Nagar. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00686,Dwaraka Nagar,Akkayyapalem Children Park,Akkayyapalem,4,10 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Akkayyapalem Junction, Seethammadhara Flyover",Travel from Dwaraka Nagar to Akkayyapalem Children Park in Akkayyapalem. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00687,Dwaraka Nagar,Akkayyapalem Mini Park,Akkayyapalem,5,13 mins,Rs 50,Rs 65,Rs 120,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Akkayyapalem Junction, Seethammadhara Flyover",Travel from Dwaraka Nagar to Akkayyapalem Mini Park in Akkayyapalem. Distance approx 5 km with medium traffic. Route via major Vizag roads.
TRP00688,Dwaraka Nagar,Akkayyapalem Recreation Park,Akkayyapalem,3,7 mins,Rs 35,Rs 40,Rs 95,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Akkayyapalem Junction, Seethammadhara Flyover",Travel from Dwaraka Nagar to Akkayyapalem Recreation Park in Akkayyapalem. Distance approx 3 km with medium traffic. Route via major Vizag roads.
TRP00689,Dwaraka Nagar,Akkayyapalem Urban Garden,Akkayyapalem,4,10 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Akkayyapalem Junction, Seethammadhara Flyover",Travel from Dwaraka Nagar to Akkayyapalem Urban Garden in Akkayyapalem. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00690,Dwaraka Nagar,Arilova Children Park,Arilova,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Dwaraka Nagar to Arilova Children Park in Arilova. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00691,Dwaraka Nagar,Arilova City Garden,Arilova,12,29 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Dwaraka Nagar to Arilova City Garden in Arilova. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00692,Dwaraka Nagar,Arilova Green Valley Park,Arilova,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Dwaraka Nagar to Arilova Green Valley Park in Arilova. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00693,Dwaraka Nagar,Arilova Heritage Park,Arilova,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Dwaraka Nagar to Arilova Heritage Park in Arilova. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00694,Dwaraka Nagar,Arilova Nature Park,Arilova,12,29 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Dwaraka Nagar to Arilova Nature Park in Arilova. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00695,Dwaraka Nagar,Arilova Palm Garden,Arilova,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Dwaraka Nagar to Arilova Palm Garden in Arilova. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00696,Dwaraka Nagar,Beach Road Coastal Park,Beach Road,6,15 mins,Rs 55,Rs 80,Rs 135,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Beach Road Coastal Park in Beach Road. Distance approx 6 km with medium traffic. Route via major Vizag roads.
TRP00697,Dwaraka Nagar,Beach Road Eco Garden,Beach Road,4,9 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Beach Road Eco Garden in Beach Road. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00698,Dwaraka Nagar,Beach Road Family Park,Beach Road,5,12 mins,Rs 50,Rs 65,Rs 120,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Beach Road Family Park in Beach Road. Distance approx 5 km with medium traffic. Route via major Vizag roads.
TRP00699,Dwaraka Nagar,Beach Road Green Park,Beach Road,6,15 mins,Rs 55,Rs 80,Rs 135,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Beach Road Green Park in Beach Road. Distance approx 6 km with medium traffic. Route via major Vizag roads.
TRP00700,Dwaraka Nagar,Beach Road Urban Park,Beach Road,4,9 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Dwaraka Nagar to Beach Road Urban Park in Beach Road. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00701,Dwaraka Nagar,Beach View Park,Visakhapatnam,5,12 mins,Rs 50,Rs 65,Rs 120,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Visakhapatnam City Center, GVMC Office",Travel from Dwaraka Nagar to Beach View Park in Visakhapatnam. Distance approx 5 km with medium traffic. Route via major Vizag roads.
TRP00702,Dwaraka Nagar,Bheemili Beach Garden,Bheemili,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Bheemili Beach, Dutch Cemetery, Bheemili Bus Stop",Travel from Dwaraka Nagar to Bheemili Beach Garden in Bheemili. Distance approx 15 km with medium traffic. Route via major Vizag roads.
