route_id,source_area,park_name,park_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,tourist_friendly,description
VSK-641,Gajuwaka,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,Gajuwaka Junction Steel Plant NAD Junction Jagadamba Siripuram Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Gajuwaka to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-642,Gopalapatnam,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,410,City Ordinary,Gopalapatnam Kommadi Madhurawada MVP Colony Beach Road,15,45 mins,20,0530,2200,30,0.2,Yes,"Take APSRTC bus 410 from Gopalapatnam to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-643,Hanumanthuwaka,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,Hanumanthuwaka Gajuwaka NAD Junction Jagadamba Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Hanumanthuwaka to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-644,Jagadamba,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,Jagadamba Siripuram RK Beach Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Jagadamba to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-645,Kailasagiri,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,500E,Express,Kailasagiri Lawsons Bay RK Beach Jagadamba Beach Road,10,30 mins,15,0600,2100,25,0.2,Yes,"Take APSRTC bus 500E from Kailasagiri to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-646,Kommadi,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,401,City Ordinary,Kommadi Junction Madhurawada MVP Colony Seethammadhara Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 401 from Kommadi to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-647,Kurmannapalem,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,106,City Ordinary,Kurmannapalem Gopalapatnam Kommadi Madhurawada Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 106 from Kurmannapalem to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-648,Lawsons Bay,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,Lawsons Bay Kailasagiri RK Beach Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Lawsons Bay to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-649,MVP Colony,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,202,City Ordinary,MVP Colony Seethammadhara Maddilapalem Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 202 from MVP Colony to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-650,Maddilapalem,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,203,City Ordinary,Maddilapalem Seethammadhara MVP Colony Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 203 from Maddilapalem to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-651,Madhurawada,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,300,City Ordinary,Madhurawada PM Palem MVP Colony Seethammadhara Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 300 from Madhurawada to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-652,NAD Junction,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,NAD Junction Jagadamba Siripuram RK Beach Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 400 from NAD Junction to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-653,One Town,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,60,City Ordinary,One Town RTC Complex Dwaraka Nagar Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from One Town to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-654,PM Palem,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,301,City Ordinary,PM Palem Madhurawada Seethammadhara MVP Colony Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 301 from PM Palem to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-655,Pendurthi,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,104,City Ordinary,Pendurthi Gopalapatnam Kommadi Madhurawada Beach Road,15,45 mins,20,0530,2200,30,0.2,Yes,"Take APSRTC bus 104 from Pendurthi to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-656,Poorna Market,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,60,City Ordinary,Poorna Market Jagadamba Siripuram RK Beach Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from Poorna Market to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-657,RK Beach,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,RK Beach Jagadamba Siripuram Dwaraka Nagar Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from RK Beach to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-658,RTC Complex,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,RTC Complex Dwaraka Nagar Jagadamba Siripuram Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from RTC Complex to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-659,Railway Station,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,60,City Ordinary,Railway Station RTC Complex Dwaraka Nagar Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from Railway Station to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-660,Rushikonda,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,300,City Ordinary,Rushikonda Madhurawada MVP Colony Seethammadhara Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 300 from Rushikonda to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-661,Scindia,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,300,City Ordinary,Scindia Madhurawada PM Palem MVP Colony Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 300 from Scindia to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-662,Seethammadhara,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,205,City Ordinary,Seethammadhara MVP Colony Maddilapalem Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 205 from Seethammadhara to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-663,Siripuram,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,Siripuram Jagadamba RK Beach Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Siripuram to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-664,Steel Plant,YSR Central Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,Steel Plant NAD Junction Jagadamba Siripuram Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Steel Plant to RTC Complex Bus Stop, then walk 0.2 km to YSR Central Park in Visakhapatnam."
VSK-665,Airport,Zen Park,Visakhapatnam,RTC Complex Bus Stop,410,City Ordinary,Airport Kommadi Madhurawada MVP Colony Beach Road,15,45 mins,20,0530,2200,30,0.2,Yes,"Take APSRTC bus 410 from Airport to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-666,Arilova,Zen Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,Arilova Gajuwaka Steel Plant NAD Junction Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Arilova to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-667,Asilmetta,Zen Park,Visakhapatnam,RTC Complex Bus Stop,505,City Ordinary,Asilmetta Dwaraka Nagar RTC Complex Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 505 from Asilmetta to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-668,Auto Nagar,Zen Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,Auto Nagar Gajuwaka Steel Plant NAD Junction Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Auto Nagar to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-669,Beach Road,Zen Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,Beach Road RK Beach Jagadamba Siripuram Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Beach Road to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-670,Dwaraka Nagar,Zen Park,Visakhapatnam,RTC Complex Bus Stop,503,City Ordinary,Dwaraka Nagar RTC Complex Jagadamba Siripuram Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 503 from Dwaraka Nagar to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-671,Gajuwaka,Zen Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,Gajuwaka Junction Steel Plant NAD Junction Jagadamba Siripuram Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Gajuwaka to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-672,Gopalapatnam,Zen Park,Visakhapatnam,RTC Complex Bus Stop,410,City Ordinary,Gopalapatnam Kommadi Madhurawada MVP Colony Beach Road,15,45 mins,20,0530,2200,30,0.2,Yes,"Take APSRTC bus 410 from Gopalapatnam to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-673,Hanumanthuwaka,Zen Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,Hanumanthuwaka Gajuwaka NAD Junction Jagadamba Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Hanumanthuwaka to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-674,Jagadamba,Zen Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,Jagadamba Siripuram RK Beach Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Jagadamba to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-675,Kailasagiri,Zen Park,Visakhapatnam,RTC Complex Bus Stop,500E,Express,Kailasagiri Lawsons Bay RK Beach Jagadamba Beach Road,10,30 mins,15,0600,2100,25,0.2,Yes,"Take APSRTC bus 500E from Kailasagiri to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-676,Kommadi,Zen Park,Visakhapatnam,RTC Complex Bus Stop,401,City Ordinary,Kommadi Junction Madhurawada MVP Colony Seethammadhara Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 401 from Kommadi to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-677,Kurmannapalem,Zen Park,Visakhapatnam,RTC Complex Bus Stop,106,City Ordinary,Kurmannapalem Gopalapatnam Kommadi Madhurawada Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 106 from Kurmannapalem to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-678,Lawsons Bay,Zen Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,Lawsons Bay Kailasagiri RK Beach Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Lawsons Bay to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-679,MVP Colony,Zen Park,Visakhapatnam,RTC Complex Bus Stop,202,City Ordinary,MVP Colony Seethammadhara Maddilapalem Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 202 from MVP Colony to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-680,Maddilapalem,Zen Park,Visakhapatnam,RTC Complex Bus Stop,203,City Ordinary,Maddilapalem Seethammadhara MVP Colony Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 203 from Maddilapalem to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-681,Madhurawada,Zen Park,Visakhapatnam,RTC Complex Bus Stop,300,City Ordinary,Madhurawada PM Palem MVP Colony Seethammadhara Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 300 from Madhurawada to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-682,NAD Junction,Zen Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,NAD Junction Jagadamba Siripuram RK Beach Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 400 from NAD Junction to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-683,One Town,Zen Park,Visakhapatnam,RTC Complex Bus Stop,60,City Ordinary,One Town RTC Complex Dwaraka Nagar Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from One Town to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-684,PM Palem,Zen Park,Visakhapatnam,RTC Complex Bus Stop,301,City Ordinary,PM Palem Madhurawada Seethammadhara MVP Colony Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 301 from PM Palem to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-685,Pendurthi,Zen Park,Visakhapatnam,RTC Complex Bus Stop,104,City Ordinary,Pendurthi Gopalapatnam Kommadi Madhurawada Beach Road,15,45 mins,20,0530,2200,30,0.2,Yes,"Take APSRTC bus 104 from Pendurthi to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-686,Poorna Market,Zen Park,Visakhapatnam,RTC Complex Bus Stop,60,City Ordinary,Poorna Market Jagadamba Siripuram RK Beach Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from Poorna Market to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-687,RK Beach,Zen Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,RK Beach Jagadamba Siripuram Dwaraka Nagar Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from RK Beach to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-688,RTC Complex,Zen Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,RTC Complex Dwaraka Nagar Jagadamba Siripuram Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from RTC Complex to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-689,Railway Station,Zen Park,Visakhapatnam,RTC Complex Bus Stop,60,City Ordinary,Railway Station RTC Complex Dwaraka Nagar Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from Railway Station to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-690,Rushikonda,Zen Park,Visakhapatnam,RTC Complex Bus Stop,300,City Ordinary,Rushikonda Madhurawada MVP Colony Seethammadhara Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 300 from Rushikonda to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-691,Scindia,Zen Park,Visakhapatnam,RTC Complex Bus Stop,300,City Ordinary,Scindia Madhurawada PM Palem MVP Colony Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 300 from Scindia to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-692,Seethammadhara,Zen Park,Visakhapatnam,RTC Complex Bus Stop,205,City Ordinary,Seethammadhara MVP Colony Maddilapalem Jagadamba Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 205 from Seethammadhara to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-693,Siripuram,Zen Park,Visakhapatnam,RTC Complex Bus Stop,500,City Ordinary,Siripuram Jagadamba RK Beach Beach Road,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Siripuram to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-694,Steel Plant,Zen Park,Visakhapatnam,RTC Complex Bus Stop,400,City Ordinary,Steel Plant NAD Junction Jagadamba Siripuram Beach Road,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Steel Plant to RTC Complex Bus Stop, then walk 0.2 km to Zen Park in Visakhapatnam."
VSK-695,Airport,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,410,City Ordinary,Airport Kommadi Madhurawada MVP Colony Akkayyapalem,15,45 mins,20,0530,2200,30,0.2,Yes,"Take APSRTC bus 410 from Airport to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-696,Arilova,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,400,City Ordinary,Arilova Gajuwaka Steel Plant NAD Junction Akkayyapalem,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Arilova to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-697,Asilmetta,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,505,City Ordinary,Asilmetta Dwaraka Nagar RTC Complex Jagadamba Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 505 from Asilmetta to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-698,Auto Nagar,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,400,City Ordinary,Auto Nagar Gajuwaka Steel Plant NAD Junction Akkayyapalem,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Auto Nagar to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-699,Beach Road,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,500,City Ordinary,Beach Road RK Beach Jagadamba Siripuram Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Beach Road to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-700,Dwaraka Nagar,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,503,City Ordinary,Dwaraka Nagar RTC Complex Jagadamba Siripuram Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 503 from Dwaraka Nagar to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-701,Gajuwaka,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,400,City Ordinary,Gajuwaka Junction Steel Plant NAD Junction Jagadamba Siripuram Akkayyapalem,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Gajuwaka to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-702,Gopalapatnam,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,410,City Ordinary,Gopalapatnam Kommadi Madhurawada MVP Colony Akkayyapalem,15,45 mins,20,0530,2200,30,0.2,Yes,"Take APSRTC bus 410 from Gopalapatnam to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-703,Hanumanthuwaka,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,400,City Ordinary,Hanumanthuwaka Gajuwaka NAD Junction Jagadamba Akkayyapalem,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 400 from Hanumanthuwaka to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-704,Jagadamba,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,500,City Ordinary,Jagadamba Siripuram RK Beach Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Jagadamba to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-705,Kailasagiri,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,500E,Express,Kailasagiri Lawsons Bay RK Beach Jagadamba Akkayyapalem,10,30 mins,15,0600,2100,25,0.2,Yes,"Take APSRTC bus 500E from Kailasagiri to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-706,Kommadi,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,401,City Ordinary,Kommadi Junction Madhurawada MVP Colony Seethammadhara Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 401 from Kommadi to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-707,Kurmannapalem,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,106,City Ordinary,Kurmannapalem Gopalapatnam Kommadi Madhurawada Akkayyapalem,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 106 from Kurmannapalem to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-708,Lawsons Bay,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,500,City Ordinary,Lawsons Bay Kailasagiri RK Beach Jagadamba Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from Lawsons Bay to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-709,MVP Colony,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,202,City Ordinary,MVP Colony Seethammadhara Maddilapalem Jagadamba Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 202 from MVP Colony to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-710,Maddilapalem,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,203,City Ordinary,Maddilapalem Seethammadhara MVP Colony Jagadamba Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 203 from Maddilapalem to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-711,Madhurawada,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,300,City Ordinary,Madhurawada PM Palem MVP Colony Seethammadhara Akkayyapalem,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 300 from Madhurawada to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-712,NAD Junction,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,400,City Ordinary,NAD Junction Jagadamba Siripuram RK Beach Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 400 from NAD Junction to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-713,One Town,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,60,City Ordinary,One Town RTC Complex Dwaraka Nagar Jagadamba Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from One Town to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-714,PM Palem,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,301,City Ordinary,PM Palem Madhurawada Seethammadhara MVP Colony Akkayyapalem,10,30 mins,15,0530,2200,25,0.2,Yes,"Take APSRTC bus 301 from PM Palem to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-715,Pendurthi,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,104,City Ordinary,Pendurthi Gopalapatnam Kommadi Madhurawada Akkayyapalem,15,45 mins,20,0530,2200,30,0.2,Yes,"Take APSRTC bus 104 from Pendurthi to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-716,Poorna Market,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,60,City Ordinary,Poorna Market Jagadamba Siripuram RK Beach Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from Poorna Market to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-717,RK Beach,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,500,City Ordinary,RK Beach Jagadamba Siripuram Dwaraka Nagar Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from RK Beach to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-718,RTC Complex,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,500,City Ordinary,RTC Complex Dwaraka Nagar Jagadamba Siripuram Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 500 from RTC Complex to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
VSK-719,Railway Station,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Bus Stop,60,City Ordinary,Railway Station RTC Complex Dwaraka Nagar Jagadamba Akkayyapalem,5,15 mins,10,0530,2200,20,0.2,Yes,"Take APSRTC bus 60 from Railway Station to Akkayyapalem Bus Stop, then walk 0.2 km to Akkayyapalem Children Park in Akkayyapalem."
