title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,url,categoryName,openingTime,closingTime,timingDetails,darshanFee,specialDarshanFee,entryDetails,expectedBudget,mainGod,speciality,dressCode,bestTimeToVisit,prasadamAvailable,festivalsCelebrated,parkingAvailability,photographyAllowed,crowdLevel,nearbyAttractions,googleMapsUrl,verificationStatus
Rajat Jayanti Jain Bhavan,3.8,29.0,"P875+QCW, Nowroji Rd",Visakhapatnam,Andhra Pradesh,IN,,,Jain temple,,,https://www.google.com/maps/search/?api=1&query=Rajat%20Jayanti%20Jain%20Bhavan&query_place_id=ChIJOc8xdTBDOToRMjRgCtLTnm0,Jain temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,N/A,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Jain Tirthankara,Peaceful Jain temple following non-violence principles,Modest clothing; white preferred,"Early morning, Fridays, during major festivals",Seasonal prasadam only,"Paryushana Parva, Mahavir Jayanti, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Rajat%20Jayanti%20Jain%20Bhavan%20Visakhapatnam,Timing needs local confirmation
Sri Sri Sri Vijaya Durga Temple,5.0,3.0,opp. Railway DRM Office Out Gate,Visakhapatnam,Andhra Pradesh,IN,,+91 89853 51981,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Vijaya%20Durga%20Temple&query_place_id=ChIJo57gkyNDOToRjrh9OyKtCD0,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess Durga,Powerful Durga temple especially active during Navaratri,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Fridays, Navaratri, early morning",Available,"Navaratri, Dasara, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Vijaya%20Durga%20Temple%20Visakhapatnam,Timing needs local confirmation
Sri Ramalayam,5.0,9.0,"P894+X8P, S Jail Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Ramalayam&query_place_id=ChIJqaU8xRdDOToRsDKXjgEhir0,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Ramalayam%20Visakhapatnam,Timing needs local confirmation
The Church of Jesus Christ of Latter-day Saints,4.8,22.0,"Das Arcade, Daba Garden Rd",Visakhapatnam,Andhra Pradesh,IN,https://local.churchofjesuschrist.org/en/in/visakhapatnam/30-15-79-daba-garden-road?utm_source=gmb&utm_medium=yext&y_source=1_NjcwODc3NTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,Christian church,Church of Jesus Christ of Latter-day Saints,Religious organization,https://www.google.com/maps/search/?api=1&query=The%20Church%20of%20Jesus%20Christ%20of%20Latter-day%20Saints&query_place_id=ChIJJ8-RXrVDOToRqJiaxMMFliU,Christian church,09:00 AM,06:00 PM,09:00 AM - 06:00 PM | Sunday services at 10:00 AM,Free,N/A,Open to all; Sunday services welcome,₹0 - ₹100 per person,Jesus Christ,Latter-day Saints church in Daba Gardens area,Formal/modest attire preferred,Sunday mornings,Not applicable,"Christmas, Easter",Available in Das Arcade complex,Allowed outside,Low,"Daba Gardens park, RK Beach (4 km)",https://www.google.com/maps/search/?api=1&query=Church+of+Jesus+Christ+Latter+Day+Saints+Visakhapatnam,Estimated local temple details
Sree Varahi Institute,5.0,33.0,"2ND FLOOR, HARI OM NIVAS, 9-51-6/1/2, Sankara Matam Rd, near TOTAL SPORTS, above SREE PAINTS",Visakhapatnam,Andhra Pradesh,IN,http://sreevarahiedu.com/,+91 81439 69888,Educational institution,,,https://www.google.com/maps/search/?api=1&query=Sree%20Varahi%20Institute&query_place_id=ChIJKbW38l1DOToRNCDYqKIP1zY,Educational institution,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam Port, RK Beach (2 km), Submarine Museum (3 km)",https://www.google.com/maps/search/?api=1&query=Sree%20Varahi%20Institute%20Visakhapatnam,Timing needs local confirmation
Sri Muthyamambha Ammavari Temple,4.7,84.0,"P7JH+RF2, Gnanapuaram Main Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 95533 36370,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Muthyamambha%20Ammavari%20Temple&query_place_id=ChIJB2QUXs9COToREIugbyE3lgY,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess (Ammavari Devi),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Muthyamambha%20Ammavari%20Temple%20Visakhapatnam,Timing needs local confirmation
Shri Sagara Giri Kanaka Durga Temple,4.6,187.0,"Unnamed Road, 530014",Gajuwaka,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Shri%20Sagara%20Giri%20Kanaka%20Durga%20Temple&query_place_id=ChIJP3XXzFJCOToRnLgeC5Pfs84,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess Durga,Powerful Durga temple especially active during Navaratri,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Fridays, Navaratri, early morning",Available,"Navaratri, Dasara, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum | Gajuwaka local sightseeing",https://www.google.com/maps/search/?api=1&query=Shri%20Sagara%20Giri%20Kanaka%20Durga%20Temple%20Gajuwaka,Timing needs local confirmation
Shri Shyam Mandir,4.8,135.0,"POLICE STATION, KURUPAM MARKET, NEAR ONE TOWN, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 98481 33148,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Shri%20Shyam%20Mandir&query_place_id=ChIJHdkMp6pDOToRYp5wYKOuJKw,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam Old Town, RK Beach (2 km)",https://www.google.com/maps/search/?api=1&query=Shri%20Shyam%20Mandir%20Visakhapatnam,Timing needs local confirmation
Kanyaka Parameswari Temple,4.7,151.0,"M7XV+4R7, Nallavare St, 25-9-12/1, Nallavare St",Visakhapatnam,Andhra Pradesh,IN,,+91 89125 52020,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Kanyaka%20Parameswari%20Temple&query_place_id=ChIJ05gHMQBDOToRouxpxpRCmns,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Kanyaka%20Parameswari%20Temple%20Visakhapatnam,Timing needs local confirmation
Sri Jagannadha Swamy Temple (Jagannatha Swamy),4.6,205.0,"26-15-16, Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 891 664 8888,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Jagannadha%20Swamy%20Temple%20(Jagannatha%20Swamy)&query_place_id=ChIJFbnlegFDOToRZjn74tirV8g,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Jagannatha (Lord Vishnu),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Ratha Yatra, Snana Yatra, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Jagannadha%20Swamy%20Temple%20%28Jagannatha%20Swamy%29%20Visakhapatnam,Estimated local temple details
Kota-veedi Ramalayam Temple,4.6,18.0,"24-30-41, Door no 24-27-56, kota veedhi, Old Post Office Jct, near ramalaya temple",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Kota-veedi%20Ramalayam%20Temple&query_place_id=ChIJz7XurBBDOToRY7q5D2V-_Jk,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Kota-veedi%20Ramalayam%20Temple%20Visakhapatnam,Timing needs local confirmation
Ross Hill Church,4.6,7279.0,M7RP+5RH,Visakhapatnam,Andhra Pradesh,IN,,+91 89125 62318,Catholic church,Church,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Ross%20Hill%20Church&query_place_id=ChIJQfgVNlFCOToRHnbpY0KgGwQ,Catholic church,06:00 AM,07:00 PM,"06:00 AM - 12:00 PM, 03:00 PM - 07:00 PM | Mass at 7:00 AM and 6:00 PM",Free,N/A,Free entry; popular tourist and pilgrimage site,₹50 - ₹200 per person,Our Lady of Peace (Mother Mary),125-year-old historic hilltop Catholic church with panoramic views of Visakhapatnam and the Bay of Bengal,Modest attire; no shorts or sleeveless,"Christmas, Easter, early morning for views",Not applicable,"Christmas, Easter, Feast of Our Lady of Peace",Parking available at hillbase,Allowed outside; restricted during mass,High on Sundays; Very crowded at Christmas,"Vizag Port View, RK Beach (3 km), Tenneti Park (2 km)",https://www.google.com/maps/search/?api=1&query=Ross+Hill+Church+Visakhapatnam,Verified major temple details
Jagannatha Temple.,4.8,92.0,P898+9MH,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Jagannatha%20Temple.&query_place_id=ChIJq6pq42pDOToR2J9LkEzNXsQ,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Jagannatha (Lord Vishnu),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Ratha Yatra, Snana Yatra, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Jagannatha%20Temple.%20Visakhapatnam,Timing needs local confirmation
Yarada Beach,4.6,5542.0,,,Andhra Pradesh,IN,,,Beach,,,https://www.google.com/maps/search/?api=1&query=Yarada%20Beach&query_place_id=ChIJMwc3pB1COToR6Ot2H7xB76Q,Beach,06:00 AM,09:00 PM,Open all day,Free,N/A,Free temple entry,₹0 - ₹200 per person,Presiding deity of the temple,Local temple serving the community with daily poojas,No dress code,"Early morning sunrise, evenings, October to February",Not applicable,"Major Hindu festivals, Temple anniversary",Street parking and beach road parking available,Fully allowed,High always; Very crowded during festivals,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Yarada%20Beach%20nan,Verified major temple details
Sri Embarumannaru Temple (Lord Venkateshwara),4.8,17.0,22-28-21,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Embarumannaru%20Temple%20(Lord%20Venkateshwara)&query_place_id=ChIJa2BRPAdDOToR_jpWEIff1UE,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Sri Venkateswara Swamy (Lord Vishnu),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Brahmotsavam, Vaikunta Ekadasi, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Embarumannaru%20Temple%20%28Lord%20Venkateshwara%29%20Visakhapatnam,Timing needs local confirmation
Sree Sambhavnath Jain Temple,4.5,165.0,"P75X+HG7, Sree Sambhavnath Jain Temple, spring road,visakhapa, Jagadamba Junction,, Visakha",Visakhapatnam,Andhra Pradesh,IN,http://jain.org.in/,+91 98661 79152,Jain temple,,,https://www.google.com/maps/search/?api=1&query=Sree%20Sambhavnath%20Jain%20Temple&query_place_id=ChIJqS32VRtDOToR6HDm3MNaR9I,Jain temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,N/A,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Jain Tirthankara,Peaceful Jain temple following non-violence principles,Modest clothing; white preferred,"Early morning, Fridays, during major festivals",Seasonal prasadam only,"Paryushana Parva, Mahavir Jayanti, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sree%20Sambhavnath%20Jain%20Temple%20Visakhapatnam,Timing needs local confirmation
Sri Anjaneya Swamy Temple,4.9,31.0,"27/4/19 near poorna market, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Anjaneya%20Swamy%20Temple&query_place_id=ChIJIdCOvQRDOToRhByTWvKK_pU,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Hanuman (Anjaneya Swamy),Popular Hanuman temple; heavy footfall on Tuesdays,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Tuesdays, Saturdays, Hanuman Jayanti, early morning",Available,"Hanuman Jayanti, Rama Navami, Tuesdays",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam Old Town, RK Beach (2 km)",https://www.google.com/maps/search/?api=1&query=Sri%20Anjaneya%20Swamy%20Temple%20Visakhapatnam,Timing needs local confirmation
Krishna Mandir,4.4,21.0,"No 25-8-176, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Krishna%20Mandir&query_place_id=ChIJmeyQpqpDOToRb3khlcd-USo,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Krishna and Radha,Serene Krishna temple with daily bhajans and kirtans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Janmashtami, Ekadasi, early morning",Available,"Janmashtami, Radhashtami, Holi, Ekadasi",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam Old Town, RK Beach (2 km)",https://www.google.com/maps/search/?api=1&query=Krishna%20Mandir%20Visakhapatnam,Timing needs local confirmation
Sri Kodandarama Temple,4.2,18.0,"P852+6XH, Kotha Salipeta, KGH Down Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Kodandarama%20Temple&query_place_id=ChIJocsKtBpDOToRO2cpcPc-0V0,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Kodandarama%20Temple%20Visakhapatnam,Timing needs local confirmation
"Radha Krishna Temple, GOKUL PARK",4.9,8.0,"P846+H4M, Beach Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Radha%20Krishna%20Temple%2C%20GOKUL%20PARK&query_place_id=ChIJaTUhukBDOToRvjsUdjzLhRk,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Krishna and Radha,Serene Krishna temple with daily bhajans and kirtans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Janmashtami, Ekadasi, early morning",Available,"Janmashtami, Radhashtami, Holi, Ekadasi",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"RK Beach (1 km), Submarine Museum (2 km), Kailasagiri (6 km)",https://www.google.com/maps/search/?api=1&query=Radha%20Krishna%20Temple%2C%20GOKUL%20PARK%20Visakhapatnam,Timing needs local confirmation
Shri Vishaka Jain Dhadhawadi Near vishakha institute,4.4,22.0,"Collector Office, 15-15-8/2, Krishna Nagar Rd, KGH Down Rd",Visakhapatnam,Andhra Pradesh,IN,,,Jain temple,,,https://www.google.com/maps/search/?api=1&query=Shri%20Vishaka%20Jain%20Dhadhawadi%20Near%20vishakha%20institute&query_place_id=ChIJc71cwg1DOToRQ1EvO4jgg4U,Jain temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,N/A,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Jain Tirthankara,Peaceful Jain temple following non-violence principles,Modest clothing; white preferred,"Early morning, Fridays, during major festivals",Seasonal prasadam only,"Paryushana Parva, Mahavir Jayanti, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Shri%20Vishaka%20Jain%20Dhadhawadi%20Near%20vishakha%20institute%20Visakhapatnam,Timing needs local confirmation
Badravati Sameta Bhavanarishi Easwarula Sivalayam,3.9,7.0,P72W+8V7,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Badravati%20Sameta%20Bhavanarishi%20Easwarula%20Sivalayam&query_place_id=ChIJu4IpIm1DOToRXmRLH2TwHWU,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Badravati%20Sameta%20Bhavanarishi%20Easwarula%20Sivalayam%20Visakhapatnam,Timing needs local confirmation
Dadawadi Jain Temple,4.8,5.0,P846+W66,Visakhapatnam,Andhra Pradesh,IN,,,Jain temple,,,https://www.google.com/maps/search/?api=1&query=Dadawadi%20Jain%20Temple&query_place_id=ChIJVVVJwQ1DOToR5550L_i-bMw,Jain temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,N/A,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Jain Tirthankara,Peaceful Jain temple following non-violence principles,Modest clothing; white preferred,"Early morning, Fridays, during major festivals",Seasonal prasadam only,"Paryushana Parva, Mahavir Jayanti, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Dadawadi%20Jain%20Temple%20Visakhapatnam,Timing needs local confirmation
Durga Devi Temple,5.0,1.0,P823+M5J,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Durga%20Devi%20Temple&query_place_id=ChIJ98YkVo5DOToR2qPKwf8BgVM,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess Durga,Powerful Durga temple especially active during Navaratri,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Fridays, Navaratri, early morning",Available,"Navaratri, Dasara, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Durga%20Devi%20Temple%20Visakhapatnam,Timing needs local confirmation
"20-107-07,Vedapatasala,Kotha agraharam",4.9,9.0,P822+GM8,Visakhapatnam,Andhra Pradesh,IN,,+91 94929 28731,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=20-107-07%2CVedapatasala%2CKotha%20agraharam&query_place_id=ChIJz6rnEoJDOToRTFat0_Me1Y0,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=20-107-07%2CVedapatasala%2CKotha%20agraharam%20Visakhapatnam,Timing needs local confirmation
Sai Baba & Sri Rama Temple,4.0,1.0,P75V+4RQ,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sai%20Baba%20%26%20Sri%20Rama%20Temple&query_place_id=ChIJb2_ujqNDOToRWErPyp9xQ0A,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available – udi (holy ash) prasadam; sweet prasadam,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sai%20Baba%20%26%20Sri%20Rama%20Temple%20Visakhapatnam,Timing needs local confirmation
Lalitha Temple,4.5,38.0,P89H+RQG,Visakhapatnam,Andhra Pradesh,IN,,+91 98852 96101,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Lalitha%20Temple&query_place_id=ChIJAwHCFmdDOToR_eNELOSRG10,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess Parvathi,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Lalitha%20Temple%20Visakhapatnam,Timing needs local confirmation
