trip_id,source_area,cafe_name,cafe_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
TRP00765,Airport,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,15.1,50-55 mins,â‚¹130,â‚¹185,â‚¹235,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Airport to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 15.1 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00766,Pendurthi,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,17.2,57-62 mins,â‚¹145,â‚¹210,â‚¹265,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Pendurthi to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 17.2 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00767,Gopalapatnam,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,9.9,33-38 mins,â‚¹90,â‚¹125,â‚¹160,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Gopalapatnam to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 9.9 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00768,Kurmannapalem,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,10.6,35-40 mins,â‚¹95,â‚¹135,â‚¹170,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Kurmannapalem to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 10.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00769,Auto Nagar,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,12.1,40-45 mins,â‚¹105,â‚¹150,â‚¹190,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Auto Nagar to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 12.1 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00770,Steel Plant,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,14.1,47-52 mins,â‚¹120,â‚¹175,â‚¹220,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Steel Plant to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 14.1 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00771,Scindia,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,2.6,9-14 mins,â‚¹30,â‚¹35,â‚¹60,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Scindia to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 2.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00772,One Town,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,4.3,18-23 mins,â‚¹45,â‚¹60,â‚¹80,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from One Town to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 4.3 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00773,Poorna Market,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,4.7,20-25 mins,â‚¹45,â‚¹60,â‚¹90,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Poorna Market to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 4.7 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00774,RK Beach,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,2,9-14 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from RK Beach to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 2.0 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00775,Rushikonda,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,12.6,42-47 mins,â‚¹110,â‚¹155,â‚¹200,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Rushikonda to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 12.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00776,Lawson's Bay,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,4.6,15-20 mins,â‚¹45,â‚¹60,â‚¹85,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Lawson's Bay to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 4.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00777,Hanumanthuwaka,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,9,30-35 mins,â‚¹80,â‚¹115,â‚¹150,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Hanumanthuwaka to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 9.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00778,Arilova,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,9.3,31-36 mins,â‚¹85,â‚¹120,â‚¹150,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Arilova to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 9.3 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00779,Beach Road,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,2.6,11-16 mins,â‚¹30,â‚¹35,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Beach Road to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 2.6 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00780,Kailasagiri,Chennapatnam Filter Coffee | DWARAKANAGAR,Dwaraka Nagar,7.5,25-30 mins,â‚¹70,â‚¹95,â‚¹125,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Kalavaibhav Mall, Titan Showroom, Dwaraka Nagar",Travel from Kailasagiri to Chennapatnam Filter Coffee | DWARAKANAGAR in Dwaraka Nagar. Road distance approx 7.5 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00781,Gajuwaka,Tea Time,Daba Gardens,15.2,33-38 mins,â‚¹130,â‚¹190,â‚¹235,Low-Moderate,Cab,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Gajuwaka to Tea Time in Daba Gardens. Road distance approx 15.2 km with low-moderate traffic. Cab recommended for this route in Visakhapatnam.
TRP00782,Kommadi,Tea Time,Daba Gardens,13.7,29-34 mins,â‚¹120,â‚¹170,â‚¹215,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Kommadi to Tea Time in Daba Gardens. Road distance approx 13.7 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00783,Madhurawada,Tea Time,Daba Gardens,11.8,25-30 mins,â‚¹105,â‚¹150,â‚¹185,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Madhurawada to Tea Time in Daba Gardens. Road distance approx 11.8 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00784,PM Palem,Tea Time,Daba Gardens,5.2,11-16 mins,â‚¹50,â‚¹70,â‚¹95,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from PM Palem to Tea Time in Daba Gardens. Road distance approx 5.2 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00785,MVP Colony,Tea Time,Daba Gardens,4.8,10-15 mins,â‚¹45,â‚¹65,â‚¹90,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from MVP Colony to Tea Time in Daba Gardens. Road distance approx 4.8 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00786,Siripuram,Tea Time,Daba Gardens,2,8-13 mins,â‚¹25,â‚¹30,â‚¹60,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Siripuram to Tea Time in Daba Gardens. Road distance approx 2.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00787,Dwaraka Nagar,Tea Time,Daba Gardens,2.4,8-13 mins,â‚¹30,â‚¹35,â‚¹60,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Dwaraka Nagar to Tea Time in Daba Gardens. Road distance approx 2.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00788,Maddilapalem,Tea Time,Daba Gardens,3.7,8-13 mins,â‚¹40,â‚¹50,â‚¹75,Low-Moderate,Rapido Bike,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Maddilapalem to Tea Time in Daba Gardens. Road distance approx 3.7 km with low-moderate traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00789,NAD Junction,Tea Time,Daba Gardens,7,15-20 mins,â‚¹65,â‚¹90,â‚¹120,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from NAD Junction to Tea Time in Daba Gardens. Road distance approx 7.0 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00790,Seethammadhara,Tea Time,Daba Gardens,4.4,9-14 mins,â‚¹45,â‚¹60,â‚¹85,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Seethammadhara to Tea Time in Daba Gardens. Road distance approx 4.4 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00791,Jagadamba,Tea Time,Daba Gardens,2.6,9-14 mins,â‚¹30,â‚¹35,â‚¹60,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Jagadamba to Tea Time in Daba Gardens. Road distance approx 2.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00792,Asilmetta,Tea Time,Daba Gardens,2,8-13 mins,â‚¹25,â‚¹30,â‚¹60,Moderate-High,Rapido Bike,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Asilmetta to Tea Time in Daba Gardens. Road distance approx 2.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00793,Railway Station,Tea Time,Daba Gardens,3.2,11-16 mins,â‚¹35,â‚¹45,â‚¹65,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Railway Station to Tea Time in Daba Gardens. Road distance approx 3.2 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00794,RTC Complex,Tea Time,Daba Gardens,4,13-18 mins,â‚¹40,â‚¹55,â‚¹80,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from RTC Complex to Tea Time in Daba Gardens. Road distance approx 4.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00795,Airport,Tea Time,Daba Gardens,13.7,29-34 mins,â‚¹120,â‚¹170,â‚¹215,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Airport to Tea Time in Daba Gardens. Road distance approx 13.7 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00796,Pendurthi,Tea Time,Daba Gardens,17.7,38-43 mins,â‚¹150,â‚¹220,â‚¹270,Low-Moderate,Cab,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Pendurthi to Tea Time in Daba Gardens. Road distance approx 17.7 km with low-moderate traffic. Cab recommended for this route in Visakhapatnam.
TRP00797,Gopalapatnam,Tea Time,Daba Gardens,10.4,22-27 mins,â‚¹90,â‚¹130,â‚¹170,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Gopalapatnam to Tea Time in Daba Gardens. Road distance approx 10.4 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00798,Kurmannapalem,Tea Time,Daba Gardens,9.1,20-25 mins,â‚¹80,â‚¹115,â‚¹150,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Kurmannapalem to Tea Time in Daba Gardens. Road distance approx 9.1 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00799,Auto Nagar,Tea Time,Daba Gardens,10.1,22-27 mins,â‚¹90,â‚¹125,â‚¹165,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Auto Nagar to Tea Time in Daba Gardens. Road distance approx 10.1 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00800,Steel Plant,Tea Time,Daba Gardens,12.2,26-31 mins,â‚¹105,â‚¹150,â‚¹195,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Steel Plant to Tea Time in Daba Gardens. Road distance approx 12.2 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00801,Scindia,Tea Time,Daba Gardens,3.6,8-13 mins,â‚¹40,â‚¹50,â‚¹70,Low-Moderate,Rapido Bike,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Scindia to Tea Time in Daba Gardens. Road distance approx 3.6 km with low-moderate traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00802,One Town,Tea Time,Daba Gardens,2,8-13 mins,â‚¹25,â‚¹30,â‚¹60,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from One Town to Tea Time in Daba Gardens. Road distance approx 2.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00803,Poorna Market,Tea Time,Daba Gardens,2.3,8-13 mins,â‚¹25,â‚¹35,â‚¹60,Moderate-High,Rapido Bike,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Poorna Market to Tea Time in Daba Gardens. Road distance approx 2.3 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00804,RK Beach,Tea Time,Daba Gardens,3.3,11-16 mins,â‚¹35,â‚¹45,â‚¹70,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from RK Beach to Tea Time in Daba Gardens. Road distance approx 3.3 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00805,Rushikonda,Tea Time,Daba Gardens,15,32-37 mins,â‚¹130,â‚¹185,â‚¹230,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Rushikonda to Tea Time in Daba Gardens. Road distance approx 15.0 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00806,Lawson's Bay,Tea Time,Daba Gardens,7,15-20 mins,â‚¹65,â‚¹90,â‚¹120,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Lawson's Bay to Tea Time in Daba Gardens. Road distance approx 7.0 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00807,Hanumanthuwaka,Tea Time,Daba Gardens,6.6,14-19 mins,â‚¹60,â‚¹85,â‚¹115,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Hanumanthuwaka to Tea Time in Daba Gardens. Road distance approx 6.6 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00808,Arilova,Tea Time,Daba Gardens,7.7,16-21 mins,â‚¹70,â‚¹100,â‚¹130,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Arilova to Tea Time in Daba Gardens. Road distance approx 7.7 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00809,Beach Road,Tea Time,Daba Gardens,4.8,16-21 mins,â‚¹45,â‚¹65,â‚¹90,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Beach Road to Tea Time in Daba Gardens. Road distance approx 4.8 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00810,Kailasagiri,Tea Time,Daba Gardens,9.9,21-26 mins,â‚¹90,â‚¹125,â‚¹160,Low-Moderate,Auto,"09:00-11:00 AM, 05:00-07:30 PM","11:30 AM-04:00 PM, After 09:00 PM","Daba Gardens, Geeth Sangeeth Road",Travel from Kailasagiri to Tea Time in Daba Gardens. Road distance approx 9.9 km with low-moderate traffic. Auto recommended for this route in Visakhapatnam.
TRP00811,Gajuwaka,Irani tea center,Dwaraka Nagar,17.2,57-62 mins,â‚¹145,â‚¹210,â‚¹265,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Gajuwaka to Irani tea center in Dwaraka Nagar. Road distance approx 17.2 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00812,Kommadi,Irani tea center,Dwaraka Nagar,11.3,38-43 mins,â‚¹100,â‚¹140,â‚¹180,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Kommadi to Irani tea center in Dwaraka Nagar. Road distance approx 11.3 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00813,Madhurawada,Irani tea center,Dwaraka Nagar,9.4,31-36 mins,â‚¹85,â‚¹120,â‚¹155,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Madhurawada to Irani tea center in Dwaraka Nagar. Road distance approx 9.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00814,PM Palem,Irani tea center,Dwaraka Nagar,5.9,20-25 mins,â‚¹55,â‚¹75,â‚¹105,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from PM Palem to Irani tea center in Dwaraka Nagar. Road distance approx 5.9 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00815,MVP Colony,Irani tea center,Dwaraka Nagar,2.9,10-15 mins,â‚¹30,â‚¹40,â‚¹65,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from MVP Colony to Irani tea center in Dwaraka Nagar. Road distance approx 2.9 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00816,Siripuram,Irani tea center,Dwaraka Nagar,2.2,9-14 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Siripuram to Irani tea center in Dwaraka Nagar. Road distance approx 2.2 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00817,Dwaraka Nagar,Irani tea center,Dwaraka Nagar,1.5,8-13 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Dwaraka Nagar to Irani tea center in Dwaraka Nagar. Road distance approx 1.5 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00818,Maddilapalem,Irani tea center,Dwaraka Nagar,2.8,9-14 mins,â‚¹30,â‚¹40,â‚¹60,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Maddilapalem to Irani tea center in Dwaraka Nagar. Road distance approx 2.8 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00819,NAD Junction,Irani tea center,Dwaraka Nagar,8.4,28-33 mins,â‚¹75,â‚¹105,â‚¹140,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from NAD Junction to Irani tea center in Dwaraka Nagar. Road distance approx 8.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00820,Seethammadhara,Irani tea center,Dwaraka Nagar,2.6,9-14 mins,â‚¹30,â‚¹35,â‚¹60,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Seethammadhara to Irani tea center in Dwaraka Nagar. Road distance approx 2.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00821,Jagadamba,Irani tea center,Dwaraka Nagar,4.7,20-25 mins,â‚¹45,â‚¹60,â‚¹90,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Jagadamba to Irani tea center in Dwaraka Nagar. Road distance approx 4.7 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00822,Asilmetta,Irani tea center,Dwaraka Nagar,3.9,17-22 mins,â‚¹40,â‚¹55,â‚¹75,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Asilmetta to Irani tea center in Dwaraka Nagar. Road distance approx 3.9 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00823,Railway Station,Irani tea center,Dwaraka Nagar,5.4,23-28 mins,â‚¹50,â‚¹70,â‚¹100,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Railway Station to Irani tea center in Dwaraka Nagar. Road distance approx 5.4 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00824,RTC Complex,Irani tea center,Dwaraka Nagar,6.3,27-32 mins,â‚¹60,â‚¹80,â‚¹110,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from RTC Complex to Irani tea center in Dwaraka Nagar. Road distance approx 6.3 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00825,Airport,Irani tea center,Dwaraka Nagar,15.1,50-55 mins,â‚¹130,â‚¹185,â‚¹235,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Airport to Irani tea center in Dwaraka Nagar. Road distance approx 15.1 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00826,Pendurthi,Irani tea center,Dwaraka Nagar,17.2,57-62 mins,â‚¹145,â‚¹210,â‚¹265,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM",Dwaraka Nagar,Travel from Pendurthi to Irani tea center in Dwaraka Nagar. Road distance approx 17.2 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
