trip_id,source_area,hospital_name,hospital_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,emergency_fastest_option,description
129,Kommadi,Dr Benerje's Medikon Hospital,MVP Colony,5.2,12-20 min,Rs 82,Rs 104,Rs 117,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,MVP Colony Sector 7,Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Dr Benerje's Medikon Hospital in MVP Colony, Visakhapatnam. Distance approx 5.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
130,Kommadi,ECHS Polyclinic Visakhapatnam,Mulagada,11.8,28-40 min,Rs 175,Rs 236,Rs 203,Moderate to High,Rapido Bike or Auto (cost effective),38-53 min,23-40 min,"Mulagada, Near Steel Plant Area",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to ECHS Polyclinic Visakhapatnam in Mulagada, Visakhapatnam. Distance approx 11.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
131,Kommadi,Sanjivani Hospital,NAD Junction,10.5,25-37 min,Rs 157,Rs 210,Rs 186,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min,20-37 min,"NAD Junction, Near Gopalapatnam",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Sanjivani Hospital in NAD Junction, Visakhapatnam. Distance approx 10.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
132,Kommadi,GJ Hospitals & Trauma Centre,Maddilapalem,6.4,15-23 min,Rs 99,Rs 128,Rs 133,Moderate,Rapido Bike (good balance of speed and cost),25-40 min,10-23 min,"Maddilapalem, Near Railway Quarters",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to GJ Hospitals & Trauma Centre in Maddilapalem, Visakhapatnam. Distance approx 6.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
133,Kommadi,A Plus Hospitals,MVP Colony,5.3,12-20 min,Rs 84,Rs 106,Rs 118,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"MVP Colony, Near Sector 9 Junction",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to A Plus Hospitals in MVP Colony, Visakhapatnam. Distance approx 5.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
134,Kommadi,Amma Hospital,Srinagar,9.4,22-34 min,Rs 141,Rs 188,Rs 172,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min,17-34 min,Near RTC Complex Area,Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Amma Hospital in Srinagar, Visakhapatnam. Distance approx 9.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
135,Kommadi,Sri Vivekananda Hospital,Kurmannapalem,10.7,25-37 min,Rs 159,Rs 214,Rs 189,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min,20-37 min,"Kurmannapalem, Near Auto Nagar",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Sri Vivekananda Hospital in Kurmannapalem, Visakhapatnam. Distance approx 10.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
136,Kommadi,Apoorva Hospital,Dwaraka Nagar,7.6,18-26 min,Rs 116,Rs 152,Rs 148,Moderate,Rapido Bike (good balance of speed and cost),28-43 min,13-26 min,Dwaraka Nagar 3rd Division,Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Apoorva Hospital in Dwaraka Nagar, Visakhapatnam. Distance approx 7.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
137,Kommadi,Simhagiri Hospital,Pendurthi,17.8,42-62 min,Rs 259,Rs 356,Rs 281,High,Rapido Bike or Auto (cost effective),52-67 min,37-62 min,"Pendurthi, Near Gopalapatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Simhagiri Hospital in Pendurthi, Visakhapatnam. Distance approx 17.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
138,Kommadi,Ariya Hospital,Gopalapatnam,8.4,20-32 min,Rs 127,Rs 168,Rs 159,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Gopalapatnam Circle, Near Fish Market",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Ariya Hospital in Gopalapatnam, Visakhapatnam. Distance approx 8.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
139,Kommadi,Mother & Child Hospital,Kommadi,0.0,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Kommadi Junction, Madhurawada Road",Rapido Bike (fastest in traffic),"Travel from Kommadi to Mother & Child Hospital in Kommadi, Visakhapatnam. Distance approx 0.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
140,Kommadi,Varma Hospitals,Siripuram,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Siripuram, Near Jagadamba",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Varma Hospitals in Siripuram, Visakhapatnam. Distance approx 8.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
141,Kommadi,Sai Spoorthy Hospital,Gajuwaka,19.1,45-65 min,Rs 277,Rs 382,Rs 298,High,Rapido Bike or Auto (cost effective),55-70 min,40-65 min,"Gajuwaka, Near Ukkunagaram",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Sai Spoorthy Hospital in Gajuwaka, Visakhapatnam. Distance approx 19.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
142,Kommadi,Q1 Hospitals,PM Palem,2.5,7-12 min,Rs 45,Rs 50,Rs 82,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"PM Palem, Near Bheemunipatnam Road",Rapido Bike (fastest in traffic),"Travel from Kommadi to Q1 Hospitals in PM Palem, Visakhapatnam. Distance approx 2.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
143,Kommadi,INHS Kalyani Naval Hospital,Steel Plant Area,16.1,38-58 min,Rs 235,Rs 322,Rs 259,High,Rapido Bike or Auto (cost effective),48-63 min,33-58 min,"Naval Base Area, Near Steel Plant",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to INHS Kalyani Naval Hospital in Steel Plant Area, Visakhapatnam. Distance approx 16.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
144,Kommadi,Damayanthi Hospitals,NAD Junction,10.5,25-37 min,Rs 157,Rs 210,Rs 186,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min,20-37 min,"NAD Junction, Near Gopalapatnam",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Damayanthi Hospitals in NAD Junction, Visakhapatnam. Distance approx 10.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
145,Kommadi,Vijayasri Hospital,Auto Nagar,13.0,31-43 min,Rs 192,Rs 260,Rs 219,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min,26-43 min,"Auto Nagar, Near Industrial Area",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Vijayasri Hospital in Auto Nagar, Visakhapatnam. Distance approx 13.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
146,Kommadi,Mahanthi Hospital,Gajuwaka,19.0,45-65 min,Rs 276,Rs 380,Rs 297,High,Rapido Bike or Auto (cost effective),55-70 min,40-65 min,"Gajuwaka, Near Kommuri Center",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Mahanthi Hospital in Gajuwaka, Visakhapatnam. Distance approx 19.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
147,Kommadi,MGR Hospital,Gajuwaka,18.9,45-65 min,Rs 274,Rs 378,Rs 295,High,Rapido Bike or Auto (cost effective),55-70 min,40-65 min,Gajuwaka BC Road,Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to MGR Hospital in Gajuwaka, Visakhapatnam. Distance approx 18.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
148,Kommadi,Pearl Vision Eye Hospital,MVP Colony,5.1,12-20 min,Rs 81,Rs 102,Rs 116,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"MVP Colony Sector 7, Near Temple",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Pearl Vision Eye Hospital in MVP Colony, Visakhapatnam. Distance approx 5.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
149,Kommadi,LG Hospitals,Scindia,14.2,34-46 min,Rs 208,Rs 284,Rs 234,Moderate to High,Rapido Bike or Auto (cost effective),44-59 min,29-46 min,"Scindia, Near BHEL Colony",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to LG Hospitals in Scindia, Visakhapatnam. Distance approx 14.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
150,Kommadi,Sree Sivani Multispeciality Hospital,Gopalapatnam,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,Gopalapatnam Main Road,Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Sree Sivani Multispeciality Hospital in Gopalapatnam, Visakhapatnam. Distance approx 8.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
151,Kommadi,Harshitha Hospital,Hanumanthuwaka,15.1,36-56 min,Rs 221,Rs 302,Rs 246,High,Rapido Bike or Auto (cost effective),46-61 min,31-56 min,"Hanumanthuwaka, Near Asilmetta Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Harshitha Hospital in Hanumanthuwaka, Visakhapatnam. Distance approx 15.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
152,Kommadi,Baba Hospital,One Town,11.6,27-39 min,Rs 172,Rs 232,Rs 200,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"One Town, Near RTC Complex",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Baba Hospital in One Town, Visakhapatnam. Distance approx 11.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
153,Kommadi,Sri Dhanvanthari Hospital,Pendurthi,17.8,42-62 min,Rs 259,Rs 356,Rs 281,High,Rapido Bike or Auto (cost effective),52-67 min,37-62 min,"Pendurthi, Near Old Bus Stand",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Sri Dhanvanthari Hospital in Pendurthi, Visakhapatnam. Distance approx 17.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
154,Kommadi,Rainbow Eye Hospital,Arilova,8.4,20-32 min,Rs 127,Rs 168,Rs 159,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Arilova, Near Care Hospital",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Rainbow Eye Hospital in Arilova, Visakhapatnam. Distance approx 8.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
155,Kommadi,Dinesh Orthopaedics Hospital,Madhurawada,0.5,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Madhurawada, Near Kommadi Junction",Rapido Bike (fastest in traffic),"Travel from Kommadi to Dinesh Orthopaedics Hospital in Madhurawada, Visakhapatnam. Distance approx 0.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
156,Kommadi,Visakha Gynaec Hospital Pendurthi,Pendurthi,17.8,42-62 min,Rs 259,Rs 356,Rs 281,High,Rapido Bike or Auto (cost effective),52-67 min,37-62 min,"Pendurthi, Near Police Station",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Visakha Gynaec Hospital Pendurthi in Pendurthi, Visakhapatnam. Distance approx 17.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
157,Kommadi,St Ann's Jubilee Memorial Hospital,Jagadamba,8.8,21-33 min,Rs 133,Rs 176,Rs 164,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min,16-33 min,"Jagadamba Junction, Near Old Town",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to St Ann's Jubilee Memorial Hospital in Jagadamba, Visakhapatnam. Distance approx 8.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
158,Kommadi,Andhra Mahila Sabha Hospital,Jagadamba,8.7,20-32 min,Rs 131,Rs 174,Rs 163,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Jagadamba, Near Post Office",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Andhra Mahila Sabha Hospital in Jagadamba, Visakhapatnam. Distance approx 8.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
159,Kommadi,Dr Adams Hospital Gynaec Care,Asilmetta,9.3,22-34 min,Rs 140,Rs 186,Rs 170,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min,17-34 min,"Asilmetta Junction, Near CBM",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Dr Adams Hospital Gynaec Care in Asilmetta, Visakhapatnam. Distance approx 9.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
160,Kommadi,Kims Cuddles Maternity Hospital,Seethammadhara,5.7,13-21 min,Rs 89,Rs 114,Rs 124,Moderate,Rapido Bike (good balance of speed and cost),23-38 min,8-21 min,"Seethammadhara, Near Big Bazaar",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Kims Cuddles Maternity Hospital in Seethammadhara, Visakhapatnam. Distance approx 5.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
161,Kommadi,Apex Ions Hospital,Dwaraka Nagar,7.6,18-26 min,Rs 116,Rs 152,Rs 148,Moderate,Rapido Bike (good balance of speed and cost),28-43 min,13-26 min,"Dwaraka Nagar, Near Visakha School",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Apex Ions Hospital in Dwaraka Nagar, Visakhapatnam. Distance approx 7.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
162,Kommadi,Sn Hospital,Gajuwaka,18.9,45-65 min,Rs 274,Rs 378,Rs 295,High,Rapido Bike or Auto (cost effective),55-70 min,40-65 min,"Gajuwaka, Steel Plant Area",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Sn Hospital in Gajuwaka, Visakhapatnam. Distance approx 18.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
163,Kommadi,Chroma Eye Hospital,MVP Colony,5.1,12-20 min,Rs 81,Rs 102,Rs 116,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"MVP Colony Sector 8, Near Park",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Chroma Eye Hospital in MVP Colony, Visakhapatnam. Distance approx 5.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
164,Kommadi,Dr Agarwals Eye Hospital,Siripuram,8.3,19-27 min,Rs 126,Rs 166,Rs 157,Moderate,Rapido Bike or Auto (cost effective),29-44 min,14-27 min,"Siripuram, Opposite Income Tax Office",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Dr Agarwals Eye Hospital in Siripuram, Visakhapatnam. Distance approx 8.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
165,Kommadi,Hcg Cancer Hospital Bhimili Road,Bheemunipatnam,14.5,34-46 min,Rs 213,Rs 290,Rs 238,Moderate to High,Rapido Bike or Auto (cost effective),44-59 min,29-46 min,"Bheemunipatnam Road, Near Tagurapuvalasa",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Hcg Cancer Hospital Bhimili Road in Bheemunipatnam, Visakhapatnam. Distance approx 14.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
166,Kommadi,Smartvision Eye Hospitals,Dwaraka Nagar,7.6,18-26 min,Rs 116,Rs 152,Rs 148,Moderate,Rapido Bike (good balance of speed and cost),28-43 min,13-26 min,"Dwaraka Nagar, Near Visakha Steel",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Smartvision Eye Hospitals in Dwaraka Nagar, Visakhapatnam. Distance approx 7.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
167,Kommadi,Aayushman Hospital,Kommadi,0.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Kommadi Road, Near Bheemunipatnam Road",Rapido Bike (fastest in traffic),"Travel from Kommadi to Aayushman Hospital in Kommadi, Visakhapatnam. Distance approx 0.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
168,Kommadi,BHEL Hospital,Scindia,14.4,34-46 min,Rs 211,Rs 288,Rs 237,Moderate to High,Rapido Bike or Auto (cost effective),44-59 min,29-46 min,"BHEL Township, Scindia",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to BHEL Hospital in Scindia, Visakhapatnam. Distance approx 14.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
169,Kommadi,Goutami Hospital,Gajuwaka,19.1,45-65 min,Rs 277,Rs 382,Rs 298,High,Rapido Bike or Auto (cost effective),55-70 min,40-65 min,"Gajuwaka, Near Balaji Theatre",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Goutami Hospital in Gajuwaka, Visakhapatnam. Distance approx 19.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
170,Kommadi,Padmasri Hospital,One Town,11.7,28-40 min,Rs 173,Rs 234,Rs 202,Moderate to High,Rapido Bike or Auto (cost effective),38-53 min,23-40 min,"One Town, Near Jagadamba",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Padmasri Hospital in One Town, Visakhapatnam. Distance approx 11.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
171,Kommadi,Sai Geetha Hospital,Steel Plant Area,16.0,38-58 min,Rs 234,Rs 320,Rs 258,High,Rapido Bike or Auto (cost effective),48-63 min,33-58 min,"Steel Plant Colony, Near HPCL Gate",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Sai Geetha Hospital in Steel Plant Area, Visakhapatnam. Distance approx 16.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
172,Kommadi,Rama Nursing Home,Gopalapatnam,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Gopalapatnam, Near Hindu Colony",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Rama Nursing Home in Gopalapatnam, Visakhapatnam. Distance approx 8.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
173,Kommadi,Waltair Multicare Hospital,Waltair,7.1,17-25 min,Rs 109,Rs 142,Rs 142,Moderate,Rapido Bike (good balance of speed and cost),27-42 min,12-25 min,"Waltair, Near RBI Colony",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Waltair Multicare Hospital in Waltair, Visakhapatnam. Distance approx 7.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
174,Kommadi,Medicover Cancer Hospital,Waltair Main Road,7.0,16-24 min,Rs 108,Rs 140,Rs 141,Moderate,Rapido Bike (good balance of speed and cost),26-41 min,11-24 min,"Waltair Main Road, Near Old Govt Hospital",Rapido Bike or Cab (quickest door-to-door),"Travel from Kommadi to Medicover Cancer Hospital in Waltair Main Road, Visakhapatnam. Distance approx 7.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
175,Madhurawada,Medicover Hospitals Vizag,Waltair Main Road,7.4,17-25 min,Rs 113,Rs 148,Rs 146,Moderate,Rapido Bike (good balance of speed and cost),27-42 min,12-25 min,"Near Waltair Main Road, Opposite YMCA",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Medicover Hospitals Vizag in Waltair Main Road, Visakhapatnam. Distance approx 7.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
176,Madhurawada,Apollo Hospitals Visakhapatnam,Waltair,8.0,19-27 min,Rs 122,Rs 160,Rs 154,Moderate,Rapido Bike (good balance of speed and cost),29-44 min,14-27 min,"Waltair Uplands, Near Andhra University",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Apollo Hospitals Visakhapatnam in Waltair, Visakhapatnam. Distance approx 8.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
177,Madhurawada,KIMS Hospitals Seethammadhara,Seethammadhara,6.2,14-22 min,Rs 96,Rs 124,Rs 130,Moderate,Rapido Bike (good balance of speed and cost),24-39 min,9-22 min,"Near Seethammadhara Junction, Opp Aditya Park",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to KIMS Hospitals Seethammadhara in Seethammadhara, Visakhapatnam. Distance approx 6.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
178,Madhurawada,Mahatma Gandhi Cancer Hospital,Maharani Peta,10.8,25-37 min,Rs 161,Rs 216,Rs 190,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min,20-37 min,"Near RTC Complex, Maharani Peta",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Mahatma Gandhi Cancer Hospital in Maharani Peta, Visakhapatnam. Distance approx 10.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
179,Madhurawada,King George Hospital,One Town,12.2,29-41 min,Rs 180,Rs 244,Rs 208,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min,24-41 min,"Near Jagadamba Centre, One Town",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to King George Hospital in One Town, Visakhapatnam. Distance approx 12.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
180,Madhurawada,MGM SevenHills Hospital,Rockdale Layout,6.6,15-23 min,Rs 102,Rs 132,Rs 135,Moderate,Rapido Bike (good balance of speed and cost),25-40 min,10-23 min,"Near Rushikonda, Beach Road Side",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to MGM SevenHills Hospital in Rockdale Layout, Visakhapatnam. Distance approx 6.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
181,Madhurawada,Queen's NRI Hospital,Seethammadhara,6.3,15-23 min,Rs 98,Rs 126,Rs 131,Moderate,Rapido Bike (good balance of speed and cost),25-40 min,10-23 min,"Near Seethammadhara Jn, Opp Big Bazaar",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Queen's NRI Hospital in Seethammadhara, Visakhapatnam. Distance approx 6.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
182,Madhurawada,Omni Hospitals Visakhapatnam,Waltair,8.1,19-27 min,Rs 123,Rs 162,Rs 155,Moderate,Rapido Bike or Auto (cost effective),29-44 min,14-27 min,"Waltair Main Road, Near Andhra University Gate",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Omni Hospitals Visakhapatnam in Waltair, Visakhapatnam. Distance approx 8.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
183,Madhurawada,Sunrise Hospitals,NAD Junction,10.8,25-37 min,Rs 161,Rs 216,Rs 190,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min,20-37 min,"NAD Junction, Near Steel Plant Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Sunrise Hospitals in NAD Junction, Visakhapatnam. Distance approx 10.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
184,Madhurawada,CARE Hospitals Visakhapatnam,Arilova,8.8,21-33 min,Rs 133,Rs 176,Rs 164,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min,16-33 min,"Arilova Main Road, Near Visakha Steel Plant",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to CARE Hospitals Visakhapatnam in Arilova, Visakhapatnam. Distance approx 8.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
185,Madhurawada,Lotus Hospitals Women & Children,Siripuram,8.9,21-33 min,Rs 134,Rs 178,Rs 165,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min,16-33 min,"Siripuram Junction, Near CBM Compound",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Lotus Hospitals Women & Children in Siripuram, Visakhapatnam. Distance approx 8.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
186,Madhurawada,Giggles by Omni Hospitals,Siripuram,9.1,21-33 min,Rs 137,Rs 182,Rs 168,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min,16-33 min,Near Siripuram Flyover,Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Giggles by Omni Hospitals in Siripuram, Visakhapatnam. Distance approx 9.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
187,Madhurawada,Rise Hospital,Gajuwaka,19.4,46-66 min,Rs 281,Rs 388,Rs 302,High,Rapido Bike or Auto (cost effective),56-71 min,41-66 min,"Gajuwaka Junction, Near RTO Office",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Rise Hospital in Gajuwaka, Visakhapatnam. Distance approx 19.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
188,Madhurawada,Tirumala Vijaya Hospital,MVP Colony,5.6,13-21 min,Rs 88,Rs 112,Rs 122,Moderate,Rapido Bike (good balance of speed and cost),23-38 min,8-21 min,"MVP Colony Sector 7, Near Big Bazaar MVP",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Tirumala Vijaya Hospital in MVP Colony, Visakhapatnam. Distance approx 5.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
189,Madhurawada,Vedanta Women & Children Hospital,Dwaraka Nagar,8.0,19-27 min,Rs 122,Rs 160,Rs 154,Moderate,Rapido Bike (good balance of speed and cost),29-44 min,14-27 min,"Dwaraka Nagar 5th Division, Near CB Rao School",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Vedanta Women & Children Hospital in Dwaraka Nagar, Visakhapatnam. Distance approx 8.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
190,Madhurawada,Maxivision Eye Hospitals,Siripuram,8.7,20-32 min,Rs 131,Rs 174,Rs 163,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Siripuram, Near Andhra Bank Main Branch",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Maxivision Eye Hospitals in Siripuram, Visakhapatnam. Distance approx 8.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
191,Madhurawada,Sankar Foundation Eye Hospital,Peda Waltair,7.1,17-25 min,Rs 109,Rs 142,Rs 142,Moderate,Rapido Bike (good balance of speed and cost),27-42 min,12-25 min,"Peda Waltair, Near Andhra University",Rapido Bike or Cab (quickest door-to-door),"Travel from Madhurawada to Sankar Foundation Eye Hospital in Peda Waltair, Visakhapatnam. Distance approx 7.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
192,Madhurawada,Motherly Women & Children Hospital,Kommadi,0.4,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Kommadi Road, Near Madhurawada",Rapido Bike (fastest in traffic),"Travel from Madhurawada to Motherly Women & Children Hospital in Kommadi, Visakhapatnam. Distance approx 0.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
