trip_id,source_area,temple_name,temple_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
1115,Dwaraka Nagar,Sri Embarumannaru Temple (Lord Venkateshwara),One Town,3.6,8-13 min,Rs 60,Rs 72,Rs 96,Low,Rapido Bike (fastest and cheapest),18-33 min (morning puja / evening rush),5-13 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Embarumannaru Temple (Lord Venkateshwara) in One Town, Visakhapatnam region. Approx 3.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1116,Dwaraka Nagar,Sree Sambhavnath Jain Temple,Gnanapuram,2.3,7-12 min,Rs 42,Rs 46,Rs 80,Low,Rapido Bike (fastest and cheapest),15-30 min (morning puja / evening rush),5-10 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sree Sambhavnath Jain Temple in Gnanapuram, Visakhapatnam region. Approx 2.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1117,Dwaraka Nagar,Sri Anjaneya Swamy Temple,Poorna Market,3.6,8-13 min,Rs 60,Rs 72,Rs 96,Low,Rapido Bike (fastest and cheapest),18-33 min (morning puja / evening rush),5-13 min (early morning or after 2 PM),"Visakhapatnam Old Town, RK Beach (2 km)","Travel from Dwaraka Nagar to Sri Anjaneya Swamy Temple in Poorna Market, Visakhapatnam region. Approx 3.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1118,Dwaraka Nagar,Krishna Mandir,One Town,3.8,9-14 min,Rs 63,Rs 76,Rs 99,Low,Rapido Bike (fastest and cheapest),19-34 min (morning puja / evening rush),5-14 min (early morning or after 2 PM),"Visakhapatnam Old Town, RK Beach (2 km)","Travel from Dwaraka Nagar to Krishna Mandir in One Town, Visakhapatnam region. Approx 3.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1119,Dwaraka Nagar,Sri Kodandarama Temple,KGH Area,4.0,9-14 min,Rs 66,Rs 80,Rs 102,Low,Rapido Bike (fastest and cheapest),19-34 min (morning puja / evening rush),5-14 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Kodandarama Temple in KGH Area, Visakhapatnam region. Approx 4.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1120,Dwaraka Nagar,"Radha Krishna Temple, GOKUL PARK",RK Beach,2.8,7-12 min,Rs 49,Rs 56,Rs 86,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"RK Beach (1 km), Submarine Museum (2 km), Kailasagiri (6 km)","Travel from Dwaraka Nagar to Radha Krishna Temple, GOKUL PARK in RK Beach, Visakhapatnam region. Approx 2.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1121,Dwaraka Nagar,Shri Vishaka Jain Dhadhawadi Near vishakha institute,KGH Area,4.4,10-18 min,Rs 71,Rs 88,Rs 107,Moderate,Rapido Bike (fastest and cheapest),20-35 min (morning puja / evening rush),5-15 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Shri Vishaka Jain Dhadhawadi Near vishakha institute in KGH Area, Visakhapatnam region. Approx 4.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1122,Dwaraka Nagar,Badravati Sameta Bhavanarishi Easwarula Sivalayam,Maharani Peta,3.0,7-12 min,Rs 52,Rs 60,Rs 89,Low,Rapido Bike (fastest and cheapest),17-32 min (morning puja / evening rush),5-12 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Badravati Sameta Bhavanarishi Easwarula Sivalayam in Maharani Peta, Visakhapatnam region. Approx 3.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1123,Dwaraka Nagar,Dadawadi Jain Temple,Beach Road,2.8,7-12 min,Rs 49,Rs 56,Rs 86,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Dadawadi Jain Temple in Beach Road, Visakhapatnam region. Approx 2.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1124,Dwaraka Nagar,Durga Devi Temple,Gajuwaka,11.5,27-39 min,Rs 171,Rs 230,Rs 199,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min (morning puja / evening rush),22-32 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Durga Devi Temple in Gajuwaka, Visakhapatnam region. Approx 11.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1125,Dwaraka Nagar,"20-107-07,Vedapatasala,Kotha agraharam",Gajuwaka,11.6,27-39 min,Rs 172,Rs 232,Rs 200,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min (morning puja / evening rush),22-32 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to 20-107-07,Vedapatasala,Kotha agraharam in Gajuwaka, Visakhapatnam region. Approx 11.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1126,Dwaraka Nagar,Sai Baba & Sri Rama Temple,Gnanapuram,2.6,7-12 min,Rs 46,Rs 52,Rs 83,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sai Baba & Sri Rama Temple in Gnanapuram, Visakhapatnam region. Approx 2.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1127,Dwaraka Nagar,Lalitha Temple,Ram Nagar,2.0,7-12 min,Rs 38,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Lalitha Temple in Ram Nagar, Visakhapatnam region. Approx 2.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1128,Dwaraka Nagar,Mahalakshmi Durga Santhoshi Maatha Temple,Lawson's Bay,3.1,7-12 min,Rs 53,Rs 62,Rs 90,Low,Rapido Bike (fastest and cheapest),17-32 min (morning puja / evening rush),5-12 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Mahalakshmi Durga Santhoshi Maatha Temple in Lawson's Bay, Visakhapatnam region. Approx 3.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1129,Dwaraka Nagar,Ramakrishna Beach,RK Beach,2.9,7-12 min,Rs 50,Rs 58,Rs 87,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Ramakrishna Beach in RK Beach, Visakhapatnam region. Approx 2.9 km away. Open 06:00 AM – 09:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1130,Dwaraka Nagar,I Love Vizag Point,RK Beach,2.8,7-12 min,Rs 49,Rs 56,Rs 86,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"RK Beach (1 km), Submarine Museum (2 km), Kailasagiri (6 km)","Travel from Dwaraka Nagar to I Love Vizag Point in RK Beach, Visakhapatnam region. Approx 2.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1131,Dwaraka Nagar,Ramalayam,Andhra University,1.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Ramalayam in Andhra University, Visakhapatnam region. Approx 1.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1132,Dwaraka Nagar,Yarada,Yarada,9.5,22-34 min,Rs 143,Rs 190,Rs 173,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min (morning puja / evening rush),17-27 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum | Gajuwaka local sightseeing","Travel from Dwaraka Nagar to Yarada in Yarada, Visakhapatnam region. Approx 9.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1133,Dwaraka Nagar,DSC TEMPLE,Gajuwaka,11.4,27-39 min,Rs 169,Rs 228,Rs 198,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min (morning puja / evening rush),22-32 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to DSC TEMPLE in Gajuwaka, Visakhapatnam region. Approx 11.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1134,Dwaraka Nagar,Sree Chintamani Durga Ganapathi Temple,Maharani Peta,3.1,7-12 min,Rs 53,Rs 62,Rs 90,Low,Rapido Bike (fastest and cheapest),17-32 min (morning puja / evening rush),5-12 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sree Chintamani Durga Ganapathi Temple in Maharani Peta, Visakhapatnam region. Approx 3.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1135,Dwaraka Nagar,Ayyappa Temple,Maharani Peta,3.0,7-12 min,Rs 52,Rs 60,Rs 89,Low,Rapido Bike (fastest and cheapest),17-32 min (morning puja / evening rush),5-12 min (early morning or after 2 PM),"Gajuwaka town, Simhachalam (6 km), Bheemunipatnam Road","Travel from Dwaraka Nagar to Ayyappa Temple in Maharani Peta, Visakhapatnam region. Approx 3.0 km away. Open 05:00 AM – 09:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1136,Dwaraka Nagar,Panchamukha Anjaneya Swamy Temple,Kurmannapalem,3.2,7-12 min,Rs 54,Rs 64,Rs 91,Low,Rapido Bike (fastest and cheapest),17-32 min (morning puja / evening rush),5-12 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Panchamukha Anjaneya Swamy Temple in Kurmannapalem, Visakhapatnam region. Approx 3.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1137,Dwaraka Nagar,"Ganesh Temple,Kranthi Nagar",Maharani Peta,2.7,7-12 min,Rs 47,Rs 54,Rs 85,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Ganesh Temple,Kranthi Nagar in Maharani Peta, Visakhapatnam region. Approx 2.7 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1138,Dwaraka Nagar,Shree Chaitanya Vinayak Ganesh Mandir,Maharani Peta,3.0,7-12 min,Rs 52,Rs 60,Rs 89,Low,Rapido Bike (fastest and cheapest),17-32 min (morning puja / evening rush),5-12 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Shree Chaitanya Vinayak Ganesh Mandir in Maharani Peta, Visakhapatnam region. Approx 3.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1139,Dwaraka Nagar,Sri Somasekhara Panchayatan SivalayamThe LORD SHIVA TEMPLE,Kurmannapalem,3.2,7-12 min,Rs 54,Rs 64,Rs 91,Low,Rapido Bike (fastest and cheapest),17-32 min (morning puja / evening rush),5-12 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Somasekhara Panchayatan SivalayamThe LORD SHIVA TEMPLE in Kurmannapalem, Visakhapatnam region. Approx 3.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1140,Dwaraka Nagar,Koteswara Swamy Navagraha Temple,RK Beach,2.8,7-12 min,Rs 49,Rs 56,Rs 86,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"RK Beach (1 km), Submarine Museum (2 km), Kailasagiri (6 km)","Travel from Dwaraka Nagar to Koteswara Swamy Navagraha Temple in RK Beach, Visakhapatnam region. Approx 2.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1141,Dwaraka Nagar,Devi Temple,Ram Nagar,1.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Devi Temple in Ram Nagar, Visakhapatnam region. Approx 1.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1142,Dwaraka Nagar,Subramanya swamy temple,Gnanapuram,1.6,7-12 min,Rs 32,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Subramanya swamy temple in Gnanapuram, Visakhapatnam region. Approx 1.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1143,Dwaraka Nagar,PARADESAMMA TEMPLE THATICHETLAPALEM,Gnanapuram,1.5,7-12 min,Rs 31,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to PARADESAMMA TEMPLE THATICHETLAPALEM in Gnanapuram, Visakhapatnam region. Approx 1.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1144,Dwaraka Nagar,Sri Sri Dattatreya Temple,Akkayyapalem,1.5,7-12 min,Rs 31,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"MVP Colony, Siripuram, RK Beach (5 km)","Travel from Dwaraka Nagar to Sri Sri Dattatreya Temple in Akkayyapalem, Visakhapatnam region. Approx 1.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1145,Dwaraka Nagar,Venkateswara Swamy Temple,Akkayyapalem,1.3,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Venkateswara Swamy Temple in Akkayyapalem, Visakhapatnam region. Approx 1.3 km away. Open 06:00 AM – 08:30 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1146,Dwaraka Nagar,Pydi Thallamma Temple,Daba Garden,0.9,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Pydi Thallamma Temple in Daba Garden, Visakhapatnam region. Approx 0.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1147,Dwaraka Nagar,Santhosi matha Temple,Akkayyapalem,1.4,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"MVP Colony, Siripuram, RK Beach (5 km)","Travel from Dwaraka Nagar to Santhosi matha Temple in Akkayyapalem, Visakhapatnam region. Approx 1.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1148,Dwaraka Nagar,Sri Gokula Krishna Temple,Akkayyapalem,1.5,7-12 min,Rs 31,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"MVP Colony, Siripuram, RK Beach (5 km)","Travel from Dwaraka Nagar to Sri Gokula Krishna Temple in Akkayyapalem, Visakhapatnam region. Approx 1.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1149,Dwaraka Nagar,Vinayaka Temple,Akkayyapalem,1.2,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Vinayaka Temple in Akkayyapalem, Visakhapatnam region. Approx 1.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1150,Dwaraka Nagar,Sri Venkateshwara Swamy Temple and Annapoorna visweswara alayam,Akkayyapalem,1.3,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Venkateshwara Swamy Temple and Annapoorna visweswara alayam in Akkayyapalem, Visakhapatnam region. Approx 1.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1151,Dwaraka Nagar,Sri Sai Baba Temple,Akkayyapalem,1.2,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Sai Baba Temple in Akkayyapalem, Visakhapatnam region. Approx 1.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1152,Dwaraka Nagar,Shivalayam,Gnanapuram,1.6,7-12 min,Rs 32,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Shivalayam in Gnanapuram, Visakhapatnam region. Approx 1.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1153,Dwaraka Nagar,Sri Lakshmi Ganesh Temple,Akkayyapalem,1.0,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Lakshmi Ganesh Temple in Akkayyapalem, Visakhapatnam region. Approx 1.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1154,Dwaraka Nagar,Sri Sri Sri Kanakadurga Ammavari Temple,Akkayyapalem,1.3,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Sri Sri Kanakadurga Ammavari Temple in Akkayyapalem, Visakhapatnam region. Approx 1.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1155,Dwaraka Nagar,Sri Durga Ganapathi Temple,Akkayyapalem,1.5,7-12 min,Rs 31,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Durga Ganapathi Temple in Akkayyapalem, Visakhapatnam region. Approx 1.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1156,Dwaraka Nagar,Uma Rama Lingeswara SwamyTemple,Gajuwaka,11.6,27-39 min,Rs 172,Rs 232,Rs 200,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min (morning puja / evening rush),22-32 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Uma Rama Lingeswara SwamyTemple in Gajuwaka, Visakhapatnam region. Approx 11.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1157,Dwaraka Nagar,Siridi Sai Baba Temple,Gnanapuram,1.5,7-12 min,Rs 31,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Siridi Sai Baba Temple in Gnanapuram, Visakhapatnam region. Approx 1.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1158,Dwaraka Nagar,Sri Vidya Vijaya Vinayagar Temple,Akkayyapalem,1.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Vidya Vijaya Vinayagar Temple in Akkayyapalem, Visakhapatnam region. Approx 1.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1159,Dwaraka Nagar,21 Feet Sai Baba Temple,Akkayyapalem,1.0,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to 21 Feet Sai Baba Temple in Akkayyapalem, Visakhapatnam region. Approx 1.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1160,Dwaraka Nagar,Lakshmi Prasanna Venkateshwaraswamy Temple,Akkayyapalem,1.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Lakshmi Prasanna Venkateshwaraswamy Temple in Akkayyapalem, Visakhapatnam region. Approx 1.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1161,Dwaraka Nagar,Shivalayam and Kumara Swamy Temple,Bowdara Road,2.5,7-12 min,Rs 45,Rs 50,Rs 82,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Shivalayam and Kumara Swamy Temple in Bowdara Road, Visakhapatnam region. Approx 2.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1162,Dwaraka Nagar,"SIVASAI Temple, Ramchandra Nagar,Akkayyapalem",Akkayyapalem,1.4,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"MVP Colony, Siripuram, RK Beach (5 km)","Travel from Dwaraka Nagar to SIVASAI Temple, Ramchandra Nagar,Akkayyapalem in Akkayyapalem, Visakhapatnam region. Approx 1.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
